N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
112;Рекреационная зона;"Территория между домами N 29 по пр-ту Ленинскому, N 22 по ул. Фрунзе и лицеем N 51. 1. 63:09:0101175:520; 2. 63:09:0101175:512";1. Общая долевая собственность многоквартирного жилого дома по пр-ту Ленинскому, 29.  2. Общая долевая собственность многоквартирного жилого дома по ул. Фрунзе, 22;
113;Рекреационная зона;Территория вдоль дома N 71 по пр-ту Ст. Разина, с северной стороны сквера от ул. М. Жукова до пр-та Ст. Разина;Государственная собственность не разграничена;
114 <*>;Рекреационная зона;"Бульвар Космонавтов, напротив дома N 28 по б-ру Космонавтов, в том числе земельные участки с кадастровыми номерами: 1. Земельный участок 63:09:0101152:12537; 2. Территория б-ра Космонавтов, восточнее дома N 28";1. Общая долевая собственность многоквартирного дома по б-ру Космонавтов, 28. 2. Государственная собственность не разграничена;Часть земельного участка вошла в земельный участок, формируемый под многоквартирный жилой дом по б-ру Космонавтов, 28. Земельный участок на кадастровый учет не поставлен. Готовится межевое дело
115;Рекреационная зона;"Вдоль школы N 73 от сквозного проезда до жилого дома N 15 по Приморскому б-ру ""Калина""";Государственная собственность не разграничена;
116;Рекреационная зона;Бульвар Кулибина;Государственная собственность не разграничена;
117;Рекреационная зона;Бульвар Рябиновый, напротив дома N 4 по б-ру Рябиновому;Государственная собственность не разграничена;
118;Рекреационная зона;Бульвар Луначарского;Государственная собственность не разграничена;
119;Рекреационная зона;1. Бульвар Курчатова. 2. Часть земельного участка с кадастровым номером 63:09:0101161:582 для дальнейшей эксплуатации дома;1. Государственная собственность не разграничена. 2. Общая долевая собственность многоквартирного жилого дома по бул. Курчатова, 13;
120;Рекреационная зона;Вдоль школы N 81 от въезда ул. 40 лет Победы, 116, до сквозного проезда. 1. 63:09:0301167:558  2. 63:09:0301167:551  3. 63:09:0301167:559;1. Общая долевая собственность многоквартирного жилого дома по ул. 40 лет Победы, 114. 2.Общая долевая собственность многоквартирного жилого дома по ул. 40 лет Победы, 116. 3.Общая долевая собственность многоквартирного жилого дома по ул. 40 лет Победы, 122;
121;Рекреационная зона;Вдоль ул. Автостроителей;Государственная собственность не разграничена;
122;Рекреационная зона;Бульвар Цветной;Государственная собственность не разграничена;
123;Рекреационная зона;Вдоль ул. 40 лет Победы;Государственная собственность не разграничена;
124;Рекреационная зона;Бульвар Татищева;Государственная собственность не разграничена;
125;Рекреационная зона;"Между домом N 6 по ул. 40 лет Победы и N 19 по Южному шоссе. 1. 63:09:0101158:3828; 2.63:09:0101158:3918";"1. Для целей, не связанных со строительством, договор аренды N 2755 от 23.08.2013 по 03.09.2016.  2. Для целей, не связанных со строительством, договор аренды N 2749 от 13.08.2013, 12.11.2018 (письмо-уведомление мэрии от 24.10.2014 о расторжении договора в связи с предстоящим формированием земельного участка для строительства детского сада в 21 квартале Автозаводского района, юго-западнее жилого дома по Южному шоссе, 19, планируемого в рамках муниципальной программы ""Дети городского округа Тольятти"" на 2014 - 2016 годы)";
126;Рекреационная зона;Сквер по ул. Жилина;Государственная собственность не разграничена;Утверждена схема расположения земельного участка под ул. Жилина. После постановки на государственный кадастровый учет земельный участок будет оформляться в муниципальную собственность
127;Рекреационная зона;Сквер по ул. К. Маркса;Государственная собственность не разграничена;
128;Рекреационная зона;Квартал N 32 - участок между домами N 62, 68 по ул. К. Маркса и домами N 119, 113, 111 по ул. Ленина, в том числе земельный участок с кадастровым номером 63:09:0301158:27;63:09:0301158:27 - договор аренды от 01.02.2008 N 1728;
129;Рекреационная зона;Сквер на площади Центральной, в том числе земельный участок с кадастровым номером 63:09:0301156:530;Муниципальная собственность;
130;Рекреационная зона;Бульвар Островского;;
131;Рекреационная зона;Территория стадиона в мкр. Федоровка;;
132;Мемориальная доска на школе, где учился Моряков В.В., участник афганской войны;Комсомольский район, ул. Мурысева, 61, фасад здания МОУ лицей N 6;;
133;"Мемориальная доска на доме, где проживал В.Е. Иванов, журналист, основатель газеты ""Тольяттинское обозрение""";Автозаводский район, б-р Гая, 21 (земельный участок для объектов жилой застройки, для эксплуатации многоквартирного дома б-р Гая, 21, площадь 6 105,00 кв. м, кадастровый номер 63:09:0101150:655);Общая долевая собственность многоквартирного жилого дома;Мемориальная доска в муниципальную собственность не передавалась
134;Памятная доска о строительстве школы в год 70-летия Великой Октябрьской Социалистической революции;Комсомольский район, ул. Мурысева, фасад здания МОУ школа N 18;;
