N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
223;Мемориальная доска на школе, где учился Л. Курепин, участник чеченской войны;Ул. Голосова, 83, фасад здания МОУ СОШ N 20 (земельный участок с кадастровым номером 63:09:0301151:20);Муниципальная собственность. В бессрочном пользовании;
224;Мемориальная доска главному архитектору города В.С. Лопатину;Ул. Победы, 52, фасад здания управления архитектуры и градостроительства мэрии (земельный участок с кадастровым номером 63:09:0301151:588);В общей долевой собственности многоквартирного дома ул. Победы, 52;
225;Закладной камень по случаю начала строительства памятника Святому Благоверному князю Владимиру;Пересечение ул. Мира и ул. Голосова (земельный участок с кадастровым номером 63:09:0301156:4);Безвозмездное срочное пользование;
226;Памятник-бюст Карла Маркса;Пересечение ул. К. Маркса и пл. Свободы;Государственная собственность не разграничена;
227;Обелиск Славы;Центральный район, западнее пересечения ул. Карла Маркса и Молодежного б-ра (земельный участок с кадастровым номером 63:09:0301148:554);Муниципальная собственность;Пл. Свободы
228;Памятник-бюст Е.А. Никонова - Героя Советского Союза;Центральный район, на территории лицея N 19, восточнее здания, имеющего адрес: ул. Карла Маркса, 59 (земельный участок с кадастровым номером 63:09:0301159:11);Муниципальная собственность, бессрочное пользование;
229;"Памятный знак ""Строителям Куйбышевгидростроя""";Территория городского Парка культуры и отдыха Центрального района (земельный участок с кадастровым номером 63:09:0305001:523);"Муниципальная собственность. В бессрочном пользовании МБУ ""Парки города""";
230;Обозначение дома, в котором жил генерал-майор, участник Великой Отечественной войны М.Ф. Федоров;Ул. Горького, 13;;Индивидуальный жилой дом
231;Памятник-бюст В.П. Носова, Героя Российской Федерации;Ул. Горького, 88, территория МОУ СОШ N 4 (земельный участок с кадастровым номером 63:09:0301174:1004);Муниципальная собственность. В бессрочном пользовании;
232;"Памятник-аллегория ""Рабочая гордость""";"Ул. Новозаводская (напротив проходных завода ""Волгоцеммаш"")";Государственная собственность не разграничена;
233;Пояснение названия улицы именем ставропольчанина, участника Великой Отечественной войны 1941 - 1945 гг. Ф.И. Ларина;Ул. Ларина, 64 (земельный участок с кадастровым номером 63:09:0301172:618);В общей долевой собственности многоквартирного дома ул. Ларина, 64;
234;Пояснение названия улицы именем рядового милиции В.В. Кошеля;Ул. Кошеля, 83 (земельный участок с кадастровым номером 63:09:0301174:986);В общей долевой собственности многоквартирного дома;
235;Памятник В.И. Ленину;"Ул. Новозаводская, 8, площадь у заводоуправления ОАО ""Тольяттикаучук"" (земельный участок с кадастровым номером 63:09:0000000:7824)";Муниципальная собственность, аренда;
236;Памятник И.А. Красюку;"Проходная завода ОАО ""КуйбышевАзот""";"Собственность ОАО ""КуйбышевАзот""";
237;Пояснение названия улицы именем А. Кудашева, погибшего при спасении пассажиров от вооруженного преступника;Ул. Кудашева, 120 (земельный участок с кадастровым номером 63:09:0301166:545);В общей долевой собственности многоквартирного дома ул. Кудашева, 120;
238;Мемориальная доска на доме, в котором жил Герой Советского Союза А.М. Бондарев;Ул. Коммунистическая, 45;Многоквартирный дом;
239;Мемориальная доска на доме, в котором жил заслуженный строитель РСФСР Д.В. Еремеев;Ул. Коммунистическая, 59;Многоквартирный дом;
240;Памятный знак городам - побратимам и партнерам Тольятти;Центральный р-н, пересечение пл. Свободы и Молодежного бульвара;Немуниципальная собственность;
241;Знак к 250-летию Ставрополя-Тольятти;Центральный р-н, пересечение Комсомольского шоссе и ул. Комзина;Муниципальная собственность. Движимое имущество;
242;Знаковый объект к 250-летию Ставрополя-Тольятти;Центральный р-н, Парк культуры и отдыха, в месте выхода Аллеи ветеранов на ул. Мира;Муниципальная собственность. Движимое имущество;
243;"Мозаичное панно ""Красный барабанщик""";Центральный р-н, ул. Комсомольская, 78, фасад здания Дворца молодежи;Муниципальная собственность. Движимое имущество;
244;"Монументально-декоративная композиция ""Факел знаний""";Автозаводский р-н, б-р Буденного, 1 (лицей, 37);Муниципальная собственность. Движимое имущество;
245;"Мозаичное панно ""Мирный труд"" на фасаде торгового центра ""Волжские зори""";Автозаводский р-н, пр-т Степана Разина, 8;Права муниципальной собственности на объект не оформлены. Общее имущество дома;
246;"Мозаичное панно ""Человек, спорт, природа"" (интерьер)";"Автозаводский р-н, Приморский б-р, 37, Дворец спорта ""Волгарь"" (интерьер)";Муниципальная собственность. Движимое имущество;
247;"Монументально-декоративное панно на фасаде Дворца спорта ""Волгарь"" - резьба по камню (спортивная тематика)";"Автозаводский р-н, Приморский б-р, 37, Дворец спорта ""Волгарь""";Муниципальная собственность. Движимое имущество;
248;"Декоративная роспись ""Детство"" (интерьер)";Центральный р-н, ул. Ленина, 91, здание детской стоматологической поликлиники;Общее имущество дома;
249;"Мозаичное панно ""Юность""";"Центральный р-н, фасад д/с ""Юность"", ул. Ленина, 41";Собственность немуниципальная. Оснований для оформления права муниципальной собственности нет;
250;"Мозаика на боковых торцовых стенах кинотеатра ""Сатурн""";Автозаводский р-н, ул. Революционная, 9;Немуниципальная собственность. Частная собственность;
251;"Мозаика на здании санатория-профилактория ""Русский бор"" ""Времена года""";Центральный р-н, Лесопарковое шоссе, 12;Немуниципальная собственность;
252;Мозаика в интерьере ДМШ N 4;ДМШ N 4;Муниципальная собственность. Движимое имущество;
253;"Роспись в аптеке Праски Вити (Виталий Петров) ""Здравоохранение в нашем городе""";"Автозаводский р-н, б-р Туполева, 16, аптека 212 (в настоящее время аптека ""Витафарм"")";Обращений по оформлению права собственности не поступало. В связи с этим процедура оформления не проводилась;
254;Мемориальная доска-обозначение дома, в котором в июне 1870 г. жили художники И.Е. Репин и Ф.А. Васильев;Центральный район, проезд Репина, 8;;Индивидуальный жилой дом
255;Мемориальная доска-обозначение первого дома, перенесенного из зоны затопления;Центральный район, ул. Советская, 39;;Утверждена схема расположения земельного участка. После постановки на государственный кадастровый учет земельного участка будет оформлено право муниципальной собственности
256;Мемориальная доска-обозначение первого дома в Автозаводском районе;Автозаводский район, ул. Свердлова, 37 (земельный участок с кадастровым номером 63:09:0101163:601);Общая долевая собственность многоквартирного жилого дома по ул. Свердлова, 37;
257;Мемориальная доска-обозначение первого заселенного дома в Автозаводском районе;Автозаводский район, ул. Дзержинского, 63 (земельный участок с кадастровым номером 63:09:0101159:587);Общая долевая собственность многоквартирного жилого дома по ул. Дзержинского, 63;
258;Мемориальная доска военному комиссару Ставропольского уезда В.А. Ингельбергу;Мкр Федоровка, ул. Ингельберга, 91, здание поселковой администрации;В реестре муниципальной собственности объект не значится;
259;Мемориальная доска на здании железнодорожной станции Тольятти, где работал первый начальник станции А.М. Ашихмин;Автозаводский район, ул. Вокзальная, 34;В реестре муниципальной собственности объект не значится;
260;Памятная доска, обозначающая первую школу в Автозаводском районе;Автозаводский район, б-р Баумана, 3;Государственная собственность не разграничена;
261;"Памятная доска о строительстве молодежного центра ""Спутник"" в год 250-летия г. Ставрополя";Комсомольский район, ул. Коммунистическая, 90;Государственная собственность не разграничена;Территория общего пользования
262;Мемориальная доска на школе, где учился В.И. Пименов, участник афганской войны;Автозаводский район, б-р Буденного, 9, фасад здания МОУ СОШ N 33;Муниципальная собственность. Постоянное (бессрочное) пользование за МБУ СОШ N 33;
263;Мемориальная доска в школе, где учился С.Н. Коханович, участник чеченской войны;Автозаводский район, ул. Ворошилова, 32, МОУ СОШ N 64 (земельный участок с кадастровым номером 63:09:0101166:542);Муниципальная собственность. Постоянное (бессрочное) пользование МБУ СОШ N 64;
264;Мемориальная доска на школе, где учился Э.И. Пекин, участник чеченской войны;Автозаводский район, ул. 40 лет Победы, 86, фасад здания МОУ СОШ N 70 (земельный участок с кадастровым номером 63:09:0101151:517);Муниципальная собственность. Постоянное (бессрочное) пользование МБУ СОШ N 70;
265;Мемориальная доска на школе, где учился Д.В. Овчинников, участник чеченской войны;Комсомольской район, ул. Мурысева, 49, фасад здания МОУ СОШ N 80 (земельный участок с кадастровым номером 63:09:0201057:14569);Земельный участок в муниципальной собственности, передан в бессрочное пользование МБУ СОШ N 80;
266;Мемориальная доска на школе, где учился А.А. Санжаревский, участник чеченской войны;Автозаводский район, ул. 40 лет Победы, 106, фасад здания МОУ СОШ N 81 (земельный участок с кадастровым номером 63:09:0101167:571);Муниципальная собственность. Постоянное (бессрочное) пользование МБУ СОШ N 81;
267;Мемориальная доска А.А. Санжаревскому, участнику чеченской войны;"Центральный район, ул. Тухачевского, 6, территория МОУ ДОД ""Детский морской центр"" (земельный участок с кадастровым номером 63:09:0301147:1088)";Муниципальная собственность. Бессрочное пользование;
268;Мемориальная доска на школе, где учился И. Тимофеев, участник чеченской войны;Комсомольский р-н, мкр Шлюзовой, ул. Никонова, 18, фасад здания МОУ школа N 15;;
269;Мемориальная доска на школе, где учился Рощин В.А., участник вооруженного конфликта в Таджикистане;Комсомольский район, ул. Мурысева, 61, фасад здания МОУ лицей N 6;;
270;Спортивная площадка;Автозаводский район, квартал 1, южнее жилого дома N 41 по ул. Свердлова, в том числе земельный участок с кадастровым номером 63:09:0101163:8323;В реестре муниципальной собственности земельный участок не значится;Для строительства универсальной спортивной площадки
271;Спортивная площадка;Ул. Автостроителей, 98 (комплекс зданий и сооружений жилищно-коммунального назначения), в том числе земельный участок с кадастровым номером 63:09:0101167:16;Информация о зарегистрированных правах отсутствует;
272;Спортивная площадка;Ул. Ворошилова, 53;Государственная собственность не разграничена;Территория общего пользования
273;Спортивная площадка;Ул. Ворошилова, 63;Государственная собственность не разграничена;Территория общего пользования
274;Спортивная площадка;Б-р Гая, 1;Государственная собственность не разграничена;Территория общего пользования
275;Спортивная площадка;Б-р Гая, 5;Государственная собственность не разграничена;Территория общего пользования
276;Спортивная площадка;Ул. 40 лет Победы, 112;Государственная собственность не разграничена;Территория общего пользования
277;Спортивная площадка;Ул. 40 лет Победы, 114;Государственная собственность не разграничена;Территория общего пользования
278;Спортивная площадка;Ул. Автостроителей, 47;Государственная собственность не разграничена;Территория общего пользования
279;Спортивная площадка;Ул. Автостроителей, 53;Государственная собственность не разграничена;Территория общего пользования
280;Спортивная площадка;Ул. Автостроителей, 59;Государственная собственность не разграничена;Территория общего пользования
281;Спортивная площадка;Ул. Дзержинского, 3а;Государственная собственность не разграничена;Территория общего пользования
282;Спортивная площадка;Ул. Дзержинского, 7а;Государственная собственность не разграничена;Территория общего пользования
283;Спортивная площадка;Ул. 40 лет Победы, 64;Государственная собственность не разграничена;Территория общего пользования
284;Спортивная площадка;Ул. 40 лет Победы, 78;Государственная собственность не разграничена;Территория общего пользования
285;Спортивная площадка;Ул. Автостроителей, 31;Государственная собственность не разграничена;Территория общего пользования
286;Спортивная площадка;"Ул. Дзержинского, 32. 1. 63:09:0101153:594; 2.63:09:0101153:585";"1. Многоквартирный дом;  2.Многоквартирный дом";1. Цветной б-р, 28. 2.ул.Автостроителей, 31
287;Спортивная площадка;Б-р Орджоникидзе, 6;Государственная собственность не разграничена;Территория общего пользования
288;Спортивная площадка;Ул. Свердлова, 29;Государственная собственность не разграничена;Территория общего пользования
289;Спортивная площадка;Ул. Юбилейная, 23;Государственная собственность не разграничена;Территория общего пользования
290;Спортивная площадка (волейбольная);Б-р Орджоникидзе, 6;Государственная собственность не разграничена;Территория общего пользования
291;Спортивная площадка;Пр-т Ленинский, 29, в том числе земельный участок с кадастровым номером 63:09:01011753:521;В общей долевой собственности многоквартирного дома;
292;Спортивная площадка;Б-р Баумана, 6;Государственная собственность не разграничена;Включен в работы до 01.01.2016. По формированию и проведению государственного кадастрового учета согласно пмо от 17.06.2014 N 1976-п/1
293;Спортивная площадка (футбольное поле);Ул. Свердлова, 41;Государственная собственность не разграничена;Территория общего пользования
294;Спортивная площадка;Б-р Гая, 19 (восточнее), в том числе земельный участок с кадастровым номером 63:09:0101150:10541;Информация о зарегистрированных правах отсутствует;Для дальнейшей эксплуатации физкультурно-оздоровительного комплекса
295;Спортивная площадка (хоккейная);Ул. Свердлова, 41;Государственная собственность не разграничена;Территория общего пользования
296;Спортивная площадка;Пр-т Московский, 33, в том числе земельный участок с кадастровым номером 63:09:0101163:8324;Многоквартирный дом;
297;Спортивная площадка;Ул. Свердлова, 68, в том числе земельный участок с кадастровым номером 63:09:0101159:49;Многоквартирный дом;
298;Спортивная площадка;Территория, расположенная между домами N 33, 29 по Московскому пр-ту, N 6, 14 по б-ру Баумана, МБУ СОШ N 40;Государственная собственность не разграничена;
299;Спортивная площадка;Ул. Юбилейная, 6-б, в том числе земельный участок с кадастровым номером 63:09:0101164:15;;"Для дальнейшей эксплуатации спортивного комплекса ""Спутник"""
300;Территория стадиона;Мкр Федоровка, в том числе земельный участок с кадастровым номером 63:09:0201061:1783;Муниципальная собственность, предоставлена в бессрочное пользование МБУ СОШ N 15;
301;Спортивная площадка;Ул. Куйбышева, 44;Государственная собственность не разграничена;Территория общего пользования
302;Спортивная площадка;Ул. Энергетиков, 3;Государственная собственность не разграничена;Территория общего пользования
303;"Стадион ""Дружба""";Ул. Никонова, севернее жилых домов N 19, 21;Государственная собственность не разграничена;Территория общего пользования
304;Спортивная площадка;Ул. Есенина, 6, в том числе земельный участок с кадастровым номером 63:09:0201057:891;Долевая собственность многоквартирного жилого дома;
305;Спортивная площадка;Ул. Гидротехническая, 6 (севернее). Государственная собственность не разграничена, земельный участок не выделен, однако на данной территории имеется земельный участок: кадастровый номер 63:09:0201060:14706, площадь 16,00 кв. м, выделенный для размещения объектов, характерных для населенных пунктов, по документу: для целей, не связанных со строительством, аренда;Не оформлена;Территория общего пользования
306;Спортивная площадка;Ул. Гидротехническая, 6 (северо-западнее). Государственная собственность не разграничена, земельный участок не выделен, однако на данной территории имеется земельный участок: кадастровый номер 63:09:0201060:14706, площадь 16,00 кв. м, выделенный для размещения объектов, характерных для населенных пунктов, по документу: для целей, не связанных со строительством, аренда;Не оформлена;Территория общего пользования
307;Спортивная площадка;Ул. Никонова, 4 - 6;Государственная собственность не разграничена;Территория общего пользования
308;Спортивная площадка;Ул. Гидротехническая, 9;Государственная собственность не разграничена;Территория общего пользования
309;Спортивная площадка;Севернее дома N 9 по ул. Зеленой и восточнее дома N 38 по ул. Гидротехнической;Государственная собственность не разграничена;Территория общего пользования
310;Спортивная площадка;Ул. Гидротехническая, 33;Государственная собственность не разграничена;Территория общего пользования
311;Спортивная площадка;Севернее дома N 9 по ул. Зеленой и восточнее дома N 30 по ул. Гидротехнической;Государственная собственность не разграничена;Территория общего пользования
312;Спортивная площадка (баскетбольная);Ул. Никонова, 11;Государственная собственность не разграничена;Территория общего пользования
313;Спортивная площадка;Ул. Гидротехническая, 17;Государственная собственность не разграничена;Территория общего пользования
314;Спортивная площадка (хоккейная);Ул. Гидротехническая, 37;Государственная собственность не разграничена;Территория общего пользования
315;Спортивная площадка;Ул. Куйбышева, 14;Государственная собственность не разграничена;Территория общего пользования
316;Спортивная площадка (хоккейная);Ул. Куйбышева, 14;Государственная собственность не разграничена;Территория общего пользования
317;Спортивная площадка (волейбольная);Ул. Куйбышева, 14;Государственная собственность не разграничена;Территория общего пользования
318;Спортивная площадка (баскетбольная);Ул. Куйбышева, 16;Государственная собственность не разграничена;Территория общего пользования
319;Спортивная площадка;Ул. Куйбышева, 18;Государственная собственность не разграничена;Территория общего пользования
320;Спортивная площадка;Ул. Куйбышева, 32;Государственная собственность не разграничена;Территория общего пользования
321;Площадка семейного отдыха;Севернее дома N 9 по ул. Зеленой (между домами N 34, 38 по ул. Гидротехнической);;
322;Спортивная площадка;"В границах ул. Зеленой, 9, ул. Гидротехнической, 35. 1. 63:09:0201060:110;  2.Южнее участка с кадастровым номером 63:09:0201060:110";"1. Собственность ООО ""ВИСТ"" (постановление мэрии городского округа Тольятти от 17.10.2013 N 3232-п/1). 2.Государственная собственность не разграничена. Утверждена схема расположения земельного участка для целей, не связанных со строительством";
323;Сквер;Западнее дома N 4 по ул. Есенина, в том числе земельный участок с кадастровым номером 63:09:0201057:16069;"Аренда ООО ""Инвестстройпроект""";С точными границами
324;Сквер;Севернее домов N 19, 21 по ул. Чайкиной, в том числе земельный участок с кадастровым номером 63:09:0201057:16070;"Аренда ООО ""Инвестстройпроект""";С точными границами
325;Сквер ветеранов;Автозаводский район, 18А квартал, часть земельного участка с кадастровым номером 63:09:0000000:830 севернее жилого дома N 4-б по ул. Офицерская до границы баскетбольной площадки, ограничен с востока границей земельного участка с кадастровым номером 63:09:0000000:830, с запада - трансформаторной подстанцией;В собственности Самарского областного фонда жилья и ипотеки;
326;Спортивная площадка (баскетбольная и хоккейная площадки);Автозаводский район, 18А квартал, часть земельного участка с кадастровым номером 63:09:0000000:830 западнее жилого дома N 2-г по ул. Офицерская;В собственности Самарского областного фонда жилья и ипотеки;
327;Аллея генерал-майора Сержанова А.И.;Автозаводский район, часть земельного участка с кадастровым номером 63:09:0000000:9044, расположенная восточнее здания по адресу: ул. Ворошилова, 2а (здание бывшего военного училища);Муниципальная собственность на земельный участок с кадастровым номером 63:09:0000000:9044, с разрешенным использованием: для размещения автомобильных дорог и их конструктивных элементов;На территории земельного участка посажена березовая аллея и установлен памятный знак в честь 70-летия со дня Победы советского народа в Великой Отечественной войне 1941 - 1945 гг.
328;Сквер гидростроителей с фонтаном;Центральный район, мкр. Портовый, территория восточнее пересечения ул. Комзина и Комсомольского шоссе, ограничена ограждением проезжей части, придомовой территорией жилого дома по адресу: ул. Комзина, 2, границами земельного участка с кадастровым номером 63:09:0301170:510;Отсутствуют;Территория с элементами благоустройства и фонтаном
329;"Памятный знак ""Лес памяти солдат Ставропольского уезда, участников Первой Мировой войны 1914 - 1918 гг.""";"Центральный район, 24 квартал Тольяттинского лесничества, в границах земельного участка с кадастровым номером 63:09:0304064:1057 (ориентировочно 1 км 600 м в северном направлении от пересечения ул. Санаторная и 4-го Волжского проезда, западнее дороги на санаторий ""Лесное"")";Отсутствуют;Движимое имущество, регистрация прав не требуется
330;Мемориальная доска В.И. Денисову;"Комсомольский район, мкр. Поволжский, ул. 60 лет СССР, 17, фасад здания МБУ ДО ЦРТДЮ ""Истоки""";Отсутствуют;Муниципальная собственность. Движимое имущество. Регистрация прав не требуется
331;Мемориальная доска И.В. Комзину;"Комсомольский район, мкр. Шлюзовой, ул. Севастопольская, 1, фасад здания МБУ ""Школа N 2 имени Героя Социалистического труда И.В. Комзина""";Отсутствуют;Муниципальная собственность. Движимое имущество. Регистрация прав не требуется
332;Мемориальная доска В.Н. Леванову;"Комсомольский район, ул. Лизы Чайкиной, 65, фасад здания МБУИ г.о. Тольятти ""Молодежный драматический театр""";Отсутствуют;Муниципальная собственность. Движимое имущество. Регистрация прав не требуется
333;Мемориальная доска В.Н. Полякову;"Автозаводский район, проспект Степана Разина, 78, фасад здания МБОУ ""Лицей N 76""";Отсутствуют;Муниципальная собственность. Движимое имущество. Регистрация прав не требуется
334;"Мозаики «Утро» и «Вечер» под карнизом Дворца спорта «Волгарь» с восточной и западной сторон здания

";"Автозаводский район, б-р Приморский, 37,
Дворец спорта «Волгарь», КН 63:09:0101179:511
";"Здание: муниципальная собственность, запись о регистрации права в ЕГРН № 63-63-09/046/2009-557от 20.05.2009,
предоставлено в оперативное управление МБУ СШОР № 13 «Волгарь», запись о регистрации права в ЕГРН № 63-63-09/123/2011-620от 14.02.2012
";"Автор: Сергей Леонович Тер-Григорян, г.Москва (род.1929г.), член Союза художников СССР с 1961г., Заслуженный художник Российской Федерации, лауреат Государственной премии СССР, председатель Художественного совета республиканской творческо-производственной мастерской монументально-декоративного искусства РСФСР (1980-е гг.), участник Великой Отечественной войны.
Произведение монументально-декоративного искусства советского периода
"
335;"Мозаика «Сад» на внешней стене во внутреннем дворе 
МБУ ДО ДМШ 
№ 4 им.В.М.
Свердлова

";"Автозаводский район, пр-т Степана Разина, 95,
муниципальное бюджетное учреждение дополнительного образования детская «Музыкальная школа № 4 имени заслуженного работника культуры Российской Федерации Владимира Михайловича Свердлова» городского округа Тольятти,КН 63:09:0101162:10036
";"Здание: муниципальная собственность, запись о регистрации права в 
ЕГРН № 63-09-1/2001-49077.1 
от 30.11.2001,
предоставлено в оперативное управление МБУ ДО ДМШ № 4 им.В.М.Свердлова, запись о регистрации права в ЕГРН 
№ 63-09-1/2001-53466.1 
от 08.01.2002
";"Автор: В.Б.Эльконин (1910-1994гг.). 
Живописец, график, монументалист, член Союза художников СССР, Заслуженный художник РСФСР, четырехкратный обладатель Первой Премии Московского Союза художников, лауреат премии Совета Министров СССР. 
В 1930г. окончил Московский ВХУТЕИН (был учеником К.Истомина, В.Фаворского). Член общества «4 искусства» (с 1930г.). В 1933-1935гг. выступал как художественный критик в «Литературной газете».
Участник Великой Отечественной войны. Художник-фронтовик был участником взятия Берлина, создал серию живописных этюдов. Участник художественных выставок с 1932г.  Первый председатель бюро секции монументальной живописи МОСХа, руководитель (после Л.А.Бруни) Мастерской монументальной живописи при Академии архитектуры СССР (до 1948г.).
Автор живописных работ, книжной и станковой графики. Выполнил ряд живописных и мозаичных панно (совместно с женой Н.М.Элькониной-Розенберг). 
Произведение монументально-декоративного искусства советского периода
"
336;"Мозаика в интерьере Речного вокзала в Комсомольском районе (Порт Тольятти)

";"Комсомольский район,ул.Коммунистическая, 94,
КН 63:09:0202052:977
";"Частная собственность.
Нежилое здание, 3 этажа, 
общей площадью 3920,3 кв.м,
КН 63:09:0202052:977 -
права не зарегистрированы;
нежилое помещение на 1 этаже площадью 263,1 кв.м,
КН 63:09:0202052:
1138, № 63-63-09/082/2010-378 
от 28.07.2010;
нежилое помещение на 1 этаже площадью 753,7 кв.м,
КН 63:09:0202052:1140,
№ 63-63-09/049/2011-884 
от 17.05.2011;
нежилое помещение на 2 этаже площадью 1510,2 кв.м,
КН 63:09:0202052:
1139, № 63-63-09/138/2010-725 
от 16.12.2010,
№  

";Произведение монументально-декоративного искусства советского периода
337;"Мозаичное панно в помещении плаватель-ного бассейна УСК «Олимп»

";"Автозаводский район, б-р Приморский, 49, 
Универсальный спортивный комплекс «Олимп»,
КН 63:09:0101178:551
";"Здание: муниципальная собственность, запись о регистрации права в ЕГРН 
№ 63-63-09/137/2009-078
от 08.12.2009
предоставлено в оперативное управление МБУ ДО СШОР № 10 «Олимп», запись о регистрации права в ЕГРН № 63-63-09/149/2009-782 от 30.12.2009
";
338;"Флорентийская мозаика в интерьере на стене рядом с танцевальным залом в Культурном центре «Автоград»

";"Автозаводский район, ул.Юбилейная, 8,
МАУ Культурный центр «Автоград»,
КН здания 63:09:0101173:516
";"Помещение:
18507,1 кв.м, запись о регистрации права муниципальной собственности в ЕГРН № 63-63-09/655/2013-746 от 18.07.2013, предоставлено в оперативное управление МАУ «КЦ «Автоград», запись о регистрации права 
в ЕГРН № 63-63-09/027/2010-230
от 18.07.2013
";Произведение монументально-декоративного искусства советского периода
339;"Рельефы с мозаикой по теме «Театр» на стене Ленинского зала Дворца детского и юношеского творчества

";Автозаводский район, пр-т Степана Разина, 99, муниципальное бюджетное образовательное учреждение дополнительного образования «Дворец детского и юношеского творчества» городского округа Тольятти, КН 63:09:0101162:10604;"Здание: муниципальная собственность, запись о регистрации права 
в ЕГРН № 63-01/09-1/2004-28879
от 14.05.2004, предоставлено 
в оперативное управление МБОУ ДО «ДДЮТ», запись о регистрации права  в ЕГРН № 63-01/09-1/2004-45117 от 09.07.2004
";Произведение монументально-декоративного искусства советского периода
340;"Мозаичное панно «Нам бы жить - и вся награда» Аллеи Памяти воинов-интернационалистов 

";"Автозаводский район, ул.Дзержинского, 27А,
внешняя стена внутреннего двора ТЦ «Флагман»
(стена расположена параллельно ул.Ворошилова),
КН 63:09:0101162:684
";"Частная собственность.
Торговый центр и гаражи по адресу: ул.Дзержинского, 27А, в частной собственности пообъектно (помещения и гаражные боксы)
";Аллея Памяти создавалась при непосредственном участии родителей погибших военнослужащих и ветеранов Афганской войны. Значение сохранившегося мозаичного панно для городского сообщества велико в связи с тем, что в городе проживает в настоящее время более 1 000 ветеранов Афганской войны, а также семьи погибших тольяттинцев
341;"Мозаичное панно на цветочную тематику

";"Центральный район, ул.Новозаводская, 2А,
ст. 326, торец здания, КН 63:09:0302053:745
";Частная собственность;
342;"Мозаичное панно на площадке слева от центрального входа в главное здание санатория «Ставрополь»
по теме «Подводный мир»

";"Центральный район, Лесопарковое шоссе, 22,
КН 63:09:000000:9258
";Частная собственность;
343;"Мозаичное панно на фасаде школы на бульваре Королева, 6
(п.343* введен решением 
Думы от 10.07.2024 
№ 273)
";"Автозаводский район, б-р Королева, 6,
МБОУ городского округа Тольятти «Школа имени академика С.П.Королева», КН 63:09:0101176:9819
";"Здание: муниципальная собственность, запись о регистрации права 
в ЕГРН № 63-01/09-1/2003-27076.1 
от 17.06.2003,
предоставлено в оперативное управление МБУ «Школа им.С.П.Королева», запись о регистрации права 
в ЕГРН № 63-63-09/009/2008-974 
от 20.02.2008
";Автор: А.В.Ишин, Г.В.Ишина, члены Союза художников СССР
344;"Мозаичное панно на фасаде школы на бульваре Королева, 12

";Автозаводский район, МБОУ городского округа Тольятти «Школа № 34»,  КН 63:09:0101176:9816;"Здание: муниципальная собственность, запись о регистрации права 
в ЕГРН № 63-01/09-1/2003-65252 
от 24.12.2003, предоставлено в оперативное управление МБУ «Школа № 34», запись о регистрации права 
в ЕГРН № 63-01/09-1/2003-65266 
от 24.12.2003
";Автор: А.В.Ишин, Г.В.Ишина, члены Союза художников СССР
345;"Мозаика «Птица» на внешней галерее (террасе) второго этажа Культурного центра «Автоград» 

";"Автозаводский район, ул.Юбилейная, 8, 
МАУ «Культурный центр Автоград»,
КН здания 63:09:0101173:516, балкон
";"Помещения:
- 18507,1 кв.м, запись о регистрации права муниципальной собственности 
в ЕГРН № 63-63-09/655/2013-746 
от 18.07.2013, предоставлено в оперативное управление МАУ «КЦ «Автоград», запись о регистрации права в ЕГРН № 63-63-09/027/2010-230 от 18.07.2013
";
346;"Мозаика на лестничном пролете в здании колледжа технического и художествен-ного образования

";"Автозаводский район, ул.Воскресенская, 18,
государственное автономное профессиональное образовательное учреждение Самарской области «Колледж технического и художественного образования г.Тольятти»,  КН 63:09:0102153:2799
";"Здание:
собственность Самарской области, запись о регистрации права 
в ЕГРН № 63-01/09-51/2004-368 
от 21.10.2004, оперативное управление, запись о регистрации права в ЕГРН № 63-63-09/006/2007-185 от 29.01.2007
";
347;"Мозаика на стене слева от входной зоны в детской стоматоло-гической поликлинике

";"Центральный район, ул.Ленина, 91, многоквартирный жилой дом,
КН 63:09:0301173:1628, нежилое помещение,
КН 63:09:0301173:4235
";"Помещение в многоквартирном доме:
собственность Самарской области, запись о регистрации права 
в ЕГРН № 63-63-09/015/2014-308 
от 10.06.2014 оперативное управление, запись о регистрации права в ЕГРН № 63-63-09/015/2014-312 от 10.06.2014
";
348;"Мозаика на перегородке 13-го подъезда многоквартирного дома на проспекте Степана Разина, 87

";"Автозаводский район, пр-т Степана Разина, 87,
КН 63:09:0101169:606
";"В многоквартирном доме имеются муниципальные квартиры (по состоянию на 18.06.2024 – 
5 квартир)
";
349;"Мозаичное панно в здании Центра развития творчества детей и юношества «Истоки»

";"Комсомольский район, мкр Поволжский,
ул.60 лет СССР, 17,
МБУ ДО ЦРТДЮ «Истоки»,
КН 63:09:0201055:4652
";"Здание: 
муниципальная собственность,
запись о регистрации права 
в ЕГРН № 63-09-1/2002-4905.1 
от 12.02.2002, предоставлено в оперативное управление МБУ ДО ЦРТДЮ «Истоки», запись о регистрации права в ЕГРН № 63-63-09/125/2009-378 от 13.11.2009
";
