Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок
7;№ 16в;ОП Вега – ОП КВЦ;Вега, ул. Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа, Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, б-р Курчатова, ул. Юбилейная, Магазин Восход, Магазин Океан, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул. Спортивная, пр-т Ст. Разина, ул. Свердлова, пр-т Московский, ул. Заставная, Южное шоссе;13,5;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;6;09.01.2025
;;16/30 ОП Вега-ОП Инженерный центр/ОП ЦЗЧ-2-ОП Вега;в прямом направлении: Вега, ул. Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа, Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, б-р Курчатова, ул. Юбилейная, Магазин Восход, Магазин Океан, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех,Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр. в обратном направлении: ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Учебный центр, НТЦ, Кооперативная, ул. Дзержинского, Пожарное депо, Магазин Океан, Магазин Восход, ул. Юбилейная, б-р Курчатова, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир, Музыкальная школа, Дворец детского творчества, Лесопарковое шоссе, ул. Спортивная, Вега.;прямое направление: ул. Спортивная, пр-т Ст.Разина, ул.Свердлова,ул.Заставная, Южное шоссе, ул. Цеховая,  ул. Вокзальная, ул. Борковская.      обратное направление: ул. Северная, ул. Цеховая, ул. Вокзальная, ул. Борковская, Южное шоссе, ул. Заставная, ул. Сверлова, пр-т Ст.Разина, ул. Спортивная.;24,0;;;;;;;;;;;01.06.2026
8;№17;ОП ул. Баныкина – Технопарк Жигулевская долина;ул. Баныкина, ТМО-2 (прямое направление), ул. Ленинградская, ул. Жилина, Горсад, ул. Победы, Гостиница Волга, ул. Гагарина, Молодежный б-р, площадь Свободы (обратно Магазин Рубин, к/т Космос), к/т Буревестник (обратное направление), к/т Буревестник, ул. Горького (прямое направление), Магазин Северянка, Детский мир, Техучилище, Школа №27, Колледж, Гостиница Ставрополь, ул. Л. Толстого, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Дендропарк, Школа №93, Жилой комплекс «Лесная слобода», Школа №86, Жилой комплекс «Лесной», Строительная, 16 квартал, ул. Автостроителей (прямое направление), б-р Космонавтов, Общежитие Современник (обратное направление), б-р Луначарского, 10 квартал, Магазин Мебель, Стоматологическая поликлиника, Гостиница, б-р Курчатова, ул. Юбилейная, Магазин Восход, Магазин Океан, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Технопарк Жигулевская долина;ул.Баныкина, ул. Советская, ул. Мира, ул. Победы, ул. Гагарина, ул. Ленина, б-р Молодежный (обратно К. Маркса), ул. К. Маркса, ул. М. Горького, ул. Ленина, ул. Л. Толстого, Автозаводское шоссе, Южное шоссе, ул. 40 лет Победы, ул Дзержинского, ул. Ворошилова, ул. Свердлова, пр-т Московский, ул. Заставная, Южное шоссе;25,9;Только в установленных ОП;По регулируемым тарифам;Автобус;СК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;09.01.2025
9;№ 18в;ОП Западный пляж – ОП ЦЗЧ-2;Западный пляж, пос. Приморский, ул. Фрунзе, 3 квартал, Ленинский пр-т, Дом связи, Пожарное депо, ул. Дзержинского, Московский пр-т, б-р Кулибина, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.Спортивная, пр-т Московский, ул.Дзержинского, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул.Северная;16,0;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         ;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;09.01.2025
;;18/23 ОП Набережная-ОП Инженерный центр/ОП ЦЗЧ-2 -ОП Набережная;в прямом направлении: Набережная, Лыжная база, Профилакторий Прилесье, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, ул. Жукова, 11 квартал, Школа № 51, Административный центр, Парк Победы, Школа имени академика Королева, Приморский б-р, ул. Революционная, Стадион Торпедо, СК Олимп, пос. Приморский, ул. Фрунзе, 3 квартал, Ленинский пр-т, Дом связи, Пожарное депо,  ул.Дзержинского,Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех,Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр.                                     в обратном направлении: ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Учебный центр, НТЦ, Кооперативная, ул. Дзержинского, Пожарное депо, Дом связи, Ленинский проспект, 3 квартал, Степная, б-р Королева, Парк Победы, Административный центр, Школа № 51, 11 квартал, ул. Жукова, д/с Веселая семейка, д/с Елочка, д/с Лесной голосок, Профилакторий Прилесье, Лыжная база, Набережная.;прямое направление: ул.Спортивная, ул.Жукова, ул.Фрунзе, ул.Революционная, Приморский б-р, Московский пр-т, ул.Заставная, Южное шоссе, ул. Цеховая,  ул. Вокзальная, ул. Борковская      обратное направление:  ул. Северная, ул. Цеховая, ул. Вокзальная, ул. Борковская, Южное шоссе, разворот на ОП КВЦ, Южное шоссе, ул. Заставная,пр-т Московский,ул. Фрунзе, ул. Жукова, ул. Спортивная.;25,0;;;; БК;;;;;;4;01.06.2026
10;№ 20;ОП Западный пляж – микрорайон Северный – ОП Западный пляж;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, ул. Юбилейная, б-р Курчатова, Гостиница, Стоматологическая поликлиника, Магазин Мебель, 10 квартал, б-р Луначарского, Общежитие Современник, б-р Космонавтов, Молодёжная, Школа №82, 19 квартал, Цветной б-р, Магазин Мир продуктов, Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал, Треугольник, Южное шоссе, Автозаводское шоссе, Автозаводское шоссе, Хрящевское шоссе, микрорайон Северный, Южное шоссе, Треугольник, Северо-Восточная, ул. Л. Яшина, ул. 70 лет Октября, Рябиновый б-р, ул. Тополиная, Цветной б-р, Гостиница Лада, Школа №82, Молодёжная, ул. Автостроителей, б-р Космонавтов, б-р Луначарского, 10 квартал, Магазин Мебель, Стоматологическая поликлиника, Гостиница, б-р Курчатова, ул. Юбилейная, Дом мод, Магазин 1000 мелочей, Дом быта Орбита, Магазин Русь, Школа имени академика Королева, Приморский б-р, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж;ул.Спортивная, б-р Приморский, ул.Революционная, ул. Свердлова, ул. Ворошилова, ул. Дзержинского, ул.Автостроителей, ул. 70 лет Октября, ул. Л. Яшина,Южное шоссе, Автозаводское шоссе, (разворот на площадке Парк Хаус), Автозаводское шоссе, Хрящевское шоссе, (разворот на площадке микрорайона Северный), Хрящевское шоссе, Южное шоссе, ул. Л. Яшина, ул. 70 лет Октября, ул.Автостроителей, ул. Дзержинского, ул.Ворошилова, ул. Свердлова, ул. Революционная, б-р Приморский, ул. Спортивная;30,5;Только в установленных ОП;По регулируемым тарифам;Автобус;СК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;01.01.2025
11;№ 21в;ОП Троллейбусное депо – ОП ЦЗЧ-2;Троллейбусное депо, ул.Карбышева, 27 квартал, Дом природы, ул. Победы (обратное направление Горсад, к/т Космос, Гостиница Волга), Площадь Искусств, Индустриально-педагогический колледж, ул. Шлютова, ул. Октябрьская, ул. Украинская, к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.Мира, ул. Победы (обратно Гагарина – К. Маркса), б-р 50 лет Октября,  Автозаводское шоссе, Южное шоссе, ул. Борковская, ул. Вокзальная, ул.Цеховая, ул.Северная;25,17;Только в установленных ОП;По регулируемым тарифам;Автобус;БКСК          ;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;7;09.01.2025
;;/1 ОП ул. Есенина – ОП ЦЗЧ-2;"ул. Есенина, ул. Космодемьянской, ул. Тюленина, ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, ул. Победы (обратное направление Горсад, к/т Космос, Гостиница Волга), Площадь Искусств, Индустриально-педагогический колледж, ул. Шлютова, ул. Октябрьская, ул. Украинская,  к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, Восточное кольцо, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2
";ул.Коммунистическая, ул. Матросова, ул. Громовой, ул. Кунеевская, ул. Комсомольская, ул. Мира, ул. Победы, б-р 50 лет Октября,  Автозаводское шоссе, Южное шоссе, ул. Борковская, ул. Вокзальная, ул.Цеховая, ул.Северная;30,80;;;; БК;;;;;;1;01.06.2026
;;/2 ОП ул. Есенина - ОП ЦЗЧ-2;"ул. Есенина, ул. Космодемьянской, ул. Тюленина, ГАИ Комсомольского района (обратное направление), ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2
";ул.Коммунистическая, ул. Матросова, ул.Громовой, ул.Кунеевская, ул. Комсомольская, ул. Мира, ул.Победы, б-р 50 лет Октября, Автозаводское шоссе, Южное шоссе, ул.Борковская, ул. Вокзальная,    ул.Цеховая, ул. Северная;30,80;;;; БК;;;;;;1;
;;/3ОП ул. Есенина - ОП ЦЗЧ-2;"ул. Есенина, ул. Космодемьянской, ул. Тюленина, ГАИ Комсомольского района (обратное направление), ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой ПТО, ЦЗЧ-2
";ул.Коммунистическая, ул. Матросова, ул. Громовой, ул. Кунеевская, ул. Комсомольская, ул. Мира, ул.Победы, б-р 50 лет Октября, Автозаводское шоссе, Южное шоссе, ул.Борковская, ул.Вокзальная, ул. Цеховая, ул. Северная;30,80;;;; БК;;;;;;1;
