Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок
;;/10 ОП ЦЗЧ-2-ОП Площадь  Никонова;"ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, КВД, Мичурина, Многопрофильная больница, магазин Автолюбитель, Крупской, к/т Авангард, Украинская, Октябрьская, Шлютова, Индустриально-педагогический колледж, пл. Искусств, гос.Волга, к-т Космос, Горсад, Дом природы, 27 квартал, Карбышева, Троллейбусное депо, Спецавтохозяйство, Механизаторов, Громовой, Колледж технического и художественного образования, Молодежный драматический театр, ул.Мурысева, Молодежный драматический театр, ул.Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, Школа №14, ул. Куйбышева, Вокзальная, ул. Макарова, ул. Гидротехническая, ул. Зеленая, Площадь Никонова
";ул.Никонова, ул.Шлюзовая, ул.Гидротехническая, ул.Куйбышева, трасса М-5, ул.Громовой, ул. Ярославская, ул.Коммунистическая,  ДП Есенина, разворот, ул.Коммунистическая, ул. Матросова, ул. Громовой, ул.Кунеевская, ул.Комсомольская, ул.Мира , ул.Победы, б-р 50 лет Октября,  Автозаводское шоссе, Южное шоссе, ул.Борковская, ул.Вокзальная, ул.Цеховая, ул.Северная;42,00;;;; БК;;;;;;1;
;; /11 ОП ЦЗЧ-2 - ОП Речной вокзал;ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, КВД, Мичурина, Многопрофильная больница, Автовокзал, ул.Баныкина, Краеведческий музей, ул.Голосова, м-н Юность, Механизаторов, Громовой, Колледж технического и художественного образования, Молодежный драматический театр, Сквер Вадима Леванова, Парк, МСЧ № 8, 3 квартал, ул. Космодемьянской, ул. Тюленина, Речной вокзал;ул.Северная, ул.Цеховая, ул.Вокзальная, ул.Борковская, ул.Коммунальная, ул. Полякова, Южное шоссе, Автозаводское шоссе, ул. Лесная, ул.Родины, ул. Баныкина, ул. Кунеевская, ул.Громовой, ул.Матросова, ул. Л.Чайкиной, ул.Механизаторов, ул. Коммунистическая;31,80;;;; БК;;;;;;1;
;;/12  ОП ЦЗЧ-2 – ОП Речной вокзал;ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, КВД, Мичурина, Многопрофильная больница, магазин Автолюбитель, Крупской, к/т Авангард, Украинская, Октябрьская, Шлютова, Индустриально-педагогический колледж, пл. Искусств, гос.Волга, к-т Космос, Горсад, Дом природы, 27 квартал, Карбышева, Троллейбусное депо, Спецавтохозяйство, Механизаторов, Громовой, Колледж технического и художественного образования, Молодежный драматический театр, Сквер Вадима Леванова, Парк, МСЧ № 8, 3 квартал, ул. Космодемьянской, ул. Тюленина, Речной вокзал;"ул.Северная, ул.Цеховая, ул.Вокзальная, ул. Борковская, Южное шоссе,Автозаводское шоссе, 
б-р 50 лет Октября, ул. Победы, ул.Гагарина, ул. К. Маркса, ул. Мира, ул. Комсомольская, ул.Кунеевская, ул. Громовой, ул. Матросова, ул. Л.Чайкиной, ул.Механизаторов, ул.Коммунистическая
";31,80;;;; БК;;;;;;1;
;;/13 ОП Управление кадров- ОП Троллейбусное депо;Управление кадров, Машиностроительный колледж, АВТОВАЗ-ТО, Восточное кольцо, УВД, АвтоВАЗтранс, Автопарковая, 18а квартал, Обводное шоссе, 19 квартал, 20 квартал, 21 квартал, Треугольник, Южное шоссе, Автозаводское шоссе, ЦРБ, КВД, Мичурина, Многопрофильная больница, магазин Автолюбитель, Крупской, к/т Авангард, Украинская, Октябрьская, Шлютова, Индустриально-педагогический колледж, пл. Искусств, гос. Волга, к-т Космос, Горсад, Дом природы, 27 квартал, Карбышева, Троллейбусное депо;Южное шоссе, Автозаводское шоссе, б-р 50 лет Октября, ул. Победы, ул.Гагарина, ул. К. Маркса, ул.Мира;24,40;;;; БК;;;;;;1;
;;/14 ОП ЦЗЧ-2 – ОП Площадь Никонова;"ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, Восточное кольцо, УВД, АвтоВАЗтранс, Автопарковая, 18а квартал, Обводное шоссе, 19 квартал, 20 квартал, 21 квартал, Треугольник, Южное шоссе, Автозаводское шоссе, ЦРБ,КВД, Мичурина, Многопрофильная больница, магазин Автолюбитель, Крупской, к/т Авангард, Украинская, Октябрьская, Шлютова, Индустриально-педагогический колледж, пл. Искусств, гос. Волга, к-т Космос, Горсад, Дом природы, 27 квартал, Карбышева, Троллейбусное депо, Спецавтохозяйство, Механизаторов, Громовой, Колледж технического и художественного образования, Молодежный драматический театр, Мурысева, Молодежный драматический театр, ул. Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, Школа №14, ул. Куйбышева, Вокзальная, ул. Макарова, ул. Гидротехническая, ул. Зеленая, Площадь Никонова
";ул.Северная, ул.Цеховая, ул.Вокзальная, ул. Борковская, Южное шоссе, Автозаводское шоссе, б-р  50 лет Октября, ул.Победы, ул.Гагарина, ул. К. Маркса, ул.Мира, ул.Комсомольская, ул.Кунеевская, ул.Громовой, ул.Матросова до Коммунистической, разворот по Матросова, ул. Л.Чайкиной, ул.Ярославская, ул.Громовой, ул.Куйбышева, ул.Гидротехническая, ул.Шлюзовая, ул.Никонова;37,70;;;; БК;;;;;;1;
;;/15 ОП ЦЗЧ-2 – ОП Площадь Никонова;"ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, КВД, Мичурина, Многопрофильная больница, магазин Автолюбитель, Крупской, к/т Авангард, Украинская, Октябрьская, Шлютова, Индустриально-педагогический колледж, пл. Искусств, гос. Волга, к-т Космос, Горсад, Дом природы, 27 квартал, Карбышева, Троллейбусное депо, Спецавтохозяйство, Механизаторов, Громовой, Колледж технического и художественного образования, Молодежный драматический театр,  Сквер Вадима Леванова, Парк, МСЧ № 8, 3 квартал, ул. Космодемьянской, ул. Тюленина, Речной вокзал, ВНИИ нерудных материалов, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, Поликлиника, Железнодорожная, Вокзальная, ул. Макарова, ул. Гидротехническая, 
ул. Зеленая, Площадь Никонова
";"ул.Северная, ул.Цеховая, ул. Вокзальная, ул. Борковская, Южное шоссе, Автозаводское шоссе ,
б-р 50 лет Октября, ул. Победы, ул.Гагарина, ул. К. Маркса, ул.Мира, ул. Комсомольская, ул.Кунеевская, ул.Громовой, ул. Матросова, ул. Л.Чайкиной, ул.Механизаторов, ул. Коммунистическая,  ул.Ярославская, ул. Громовой, трасса М-5, ул. Куйбышева, ул.Железнодорожная, проезд Дорофеева, ул. Гидротехническая, ул. Шлюзовая, ул.Никонова
";39,20;;;; БК;;;;;;1;
;;/16 ОП ЦЗЧ-2 - ОП Площадь Никонова;ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, Энергетическая, Восточное кольцо, КВД, Мичурина, Многопрофильная больница, магазин Автолюбитель, Крупской, к/т Авангард ,Украинская, Октябрьская, Шлютова, Индустриально-педагогический колледж, пл. Искусств, гос. Волга, к-т Космос, Горсад , Дом природы, 27 квартал, Карбышева, Троллейбусное депо, Спецавтохозяйство, Механизаторов, Громовой, Колледж технического и художественного образования, Молодежный драматический театр,  Сквер Вадима Леванова, Парк, МСЧ № 8, 3 квартал, ул. Космодемьянской, ул. Тюленина, Речной вокзал, ВНИИ нерудных материалов, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, Поликлиника, Железнодорожная, Вокзальная, ул. Макарова, ул. Гидротехническая, ул. Зеленая, Площадь Никонова;"ул.Северная, ул. Цеховая, ул.Вокзальная, ул. Борковская, Южное шоссе, Автозаводское шоссе, 
б-р 50 лет Октября, ул. Победы, ул. Гагарина, ул. К. Маркса, ул.Мира, ул. Комсомольская, ул.Кунеевская, ул.Громовой, ул.Матросова, ул. Л.Чайкиной, ул.Механизаторова, ул. Коммунистическая,   ул. Ярославская, ул. Громовой, трасса М-5, ул.Куйбышева, ул. Железнодорожная, проезд Дорофеева, ул. Гидротехническая, ул. Шлюзовая, ул.Никонова
";39,20;;;; БК;;;;;;1;
12;№ 23в;ОП Набережная – ОП КВЦ;Набережная, Лыжная база, Профилакторий Прилесье, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, ул. Жукова, 11 квартал, Школа № 51, Административный центр, Парк Победы, Детский парк, Степная, 3 квартал, Ленинский пр-т, Дом связи, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Спортивная, ул.Жукова, ул. Фрунзе, пр-т Московский, ул. Заставная, Южное шоссе;13,0;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;6;09.01.2025
;;/1 ОП Набережная – ОП КВЦ;Набережная, Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, ДС Волгарь, Революционная, Стадион Торпедо, СК Олимп, пос. Приморский, Фрунзе, 3 квартал, Ленинский пр-т, Дом связи, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Спортивная, пр-т  Ст. Разина, б-р Приморский, пр-т Московский, ул. Заставная, Южное шоссе;12,7;;;;;;;;;;;01.06.2026
13;№ 24в;ОП Западный пляж – ОП КВЦ;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, б-р Кулибина, Московский пр-т, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул. Спортивная, б-р Приморский, ул. Революционная, ул. Дзержинского, ул. Заставная, Южное шоссе;11,0;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;7;09.01.2025
16;№ 38в;ОП Медучилище – ОП ЦЗЧ-2;Медучилище, Школа № 70, 14-А квартал, 14 квартал, Строительная, 16 квартал, ул. Автостроителей (прямое направление), б-р Космонавтов, Общежитие Современник (обратное направление), 15 квартал, Дом офицеров, ул. Полякова Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно- кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул. 40 лет Победы, ул.Дзержинского, ул. Ворошилова, ул. Полякова, Южное шоссе, ул.Борковская, ул. Вокзальная, ул. Цеховая, ул.Северная;17,2;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1             4;09.01.2025
17;№ 40;ОП Бетонная – ОП ул. Белорусская;"Бетонная, Опытный завод, Стадион «Дружба», Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль (прямое направление), ул. Макарова, Вокзальная, ул. Куйбышева, Школа № 14, поселок Жигулевское море, УТЭП, Рынок, АТК КуЭСП, Молокозавод, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, Горсад, ул. Жилина, Магазин Светлана, ул. Гидростроевская, Автовокзал, Автовокзал, Стадион Строитель, ул. Белорусская
";"ул.Никонова, ул.Шлюзовая, ул.Гидротехническая, ул.Куйбышева, Трасса М5, ул.Громовой, ул. Кунеевская, ул. Комсомольская, ул. Мира,  
ул.Родины, ул. Баныкина
";18,4;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 10 лет;да;да;да;"3
17";01.01.2025
;;;Бетонная, Опытный завод, Стадион «Дружба», Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль (прямое направление), ул. Макарова, Вокзальная, Железнодорожная, Поликлиника, поселок Жигулевское море, УТЭП, Рынок, АТК КуЭСП, Молокозавод, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, Горсад, ул. Жилина, Магазин Светлана, ул. Гидростроевская, Автовокзал, Автовокзал, Стадион Строитель, ул. Белорусская;"ул. Никонова, ул.Шлюзовая, ул. Гидротехническая, проезд  Дорофеева, ул. Железнодорожная, 
 Трасса М5, ул.Громовой, ул.Кунеевская, ул. Комсомольская, ул.Мира, ул.Родины, ул.Баныкина
";;;;;;;;;;;;
;;*ОП Школа №12 – ОП ул. Белорусская;Школа №12, переулок Ученический (обратное направление), Федоровка, Молодежная, Тракторная, Дачная, Нефтебаза, ЛЗЖБИ, Бетонная, Опытный завод, Стадион «Дружба», Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль (прямое направление), ул. Макарова, Вокзальная, ул. Куйбышева, Школа №14, поселок Жигулевское море, УТЭП, Рынок, АТК КуЭСП, Молокозавод, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, Горсад, ул. Жилина, Магазин Светлана, ул. Гидростроевская, Автовокзал, Автовокзал, Стадион Строитель, ул. Белорусская;ул.Ингельберга, ул.Никонова, ул.Шлюзовая, ул.Гидротехническая, ул. Куйбышева, Трасса М5, ул. Громовой, ул.Кунеевская, ул. Комсомольская, ул.Мира, ул. Родины, ул.Баныкина;23,8;;;;;;;;;;;01.01.2025
18;№ 41;ОП ул. Есенина – ОП Микрорайон Нагорный – ОП ул. Есенина;"ул. Есенина, 3 квартал, МСЧ № 8, Парк, ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, поселок Жигулевское море, Тубдиспансер, ул. Восточная, ул. Высоковольтная, Оренбургский проезд, микрорайон Нагорный, микрорайон Нагорный, поселок Жигулевское море, УТЭП, Рынок, Мясокомбинат, Универмаг, ул. Л. Чайкиной, Сквер Вадима Леванова, Парк, МСЧ № 8, 3 квартал, ул. Есенина
";ул..Коммунистическая, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, ул. Куйбышева, ул. Параллельная, ул. Коваленко, ул. Высоковольтная, Майский проезд, ул. Куйбышева, ул. Громовой, ул. Ярославская, ул.Л. Чайкиной, ул. Механизаторов, ул. Коммунистическая;15,5;Только в установленных ОП;По регулируемым тарифам;Автобус;СК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;01.01.2025
19;№ 42;ОП ул. Есенина – ОП Школа № 12;"ул. Есенина, 3 квартал, МСЧ № 8, Парк, Сквер Вадима Леванова (обратное направление), ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, Школа №14, ул. Куйбышева, Вокзальная, ул. Макарова, Вертикаль (обратное направление), ул. Гидротехническая, ул. Зеленая, Площадь Никонова, Стадион ""Дружба"", Опытный завод, Бетонная, ЛЗЖБИ, Нефтебаза, Дачная, Тракторная, Молодежная, Федоровка, переулок Ученический (прямое направление), Школа №12";ул.Коммунистическая, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, Трасса М5, ул.Куйбышева, ул.Гидротехническая, ул.Шлюзовая , ул.Никонова, ул.Ингельберга;15,7;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
11";01.01.2025
20;№ 46;ОП ул. Есенина – ОП Фосфор;ул. Есенина, ул. Космодемьянской, ул. Тюленина, ГАИ Комсомольского района (обратное направление), ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, ул. Победы, Гостиница Волга, (обратно Горсад, к/т Космос), ул. Гагарина, Дворец молодежи, ул. М. Горького, Детский мир, Техучилище, ул. Украинская, ул. Октябрьская, ул. Новозаводская, Химико-технологический колледж, Синтезкаучук, ТГАТК, ТЭЦ, КАТЗ, Химэнергострой, Фосфор;ул.Коммунистическая, ул. Матросова, ул. Громовой, ул. Кунеевская, ул.Комсомольская, ул. Мира, ул. Победы (обратно К. Маркса), ул. Гагарина, ул. Ленина, б-р 50 лет Октября, ул. Новозаводская;18,4;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;20;01.01.2025
21;№ 52;ОП Л. Толстого – ОП Фосфор – ОП Л. Толстого;ул. Л. Толстого, Гостиница Ставрополь, Колледж, Школа № 27, Техучилище, ул. Украинская, ул. Октябрьская, ул. Новозаводская, Химико-технологический колледж, Синтезкаучук, ТГАТК, ТЭЦ, КАТЗ, Химэнергострой, Фосфор, Химэнергострой, КАТЗ, ТЭЦ, ТГАТК, Синтезкаучук, Химико-технологический колледж, ул. Новозаводская, ул. Октябрьская, ул. Украинская, к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, ул. Л. Толстого;ул. Л. Толстого, ул.Ленина, б-р 50 лет Октября, ул. Новозаводская, б-р 50 лет Октября, Автозаводское шоссе, ул. Л. Толстого;16,2;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;09.01.2025
22;№ 62;ОП Легкоатлетический манеж – Кладбище (Поволжское шоссе);Легкоатлетический манеж, ул. Революционная, Вега, ул. Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, Дворец спорта, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, ул. Юбилейная, б-р Курчатова, Гостиница, Стоматологическая поликлиника, Магазин Мебель, 10 квартал, б-р Луначарского, 15 квартал, Дом офицеров, ул. Полякова, 18а квартал, ТГК, Сосновый бор, Кладбище, ТП-20;ул. Спортивная, пр-т Ст. Разина, б-р Приморский, ул. Революционная, ул. Свердлова, ул. Ворошилова, ул.Полякова, Южное шоссе, Обводное шоссе, Поволжское шоссе;35,9;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;09.01.2025
23;№ 72в;ОП 14 квартал – ОП КВЦ;14 квартал, 17 квартал (прямое направление), Школьная, ул. Тополиная, Магазин Мир продуктов (обратное направление), Цветной б-р, 19 квартал (обратное направление), Студенческая, Кафе Встреча, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул. 40 лет Победы, ул. Тополиная, ул. 70 лет Октября, ул. Полякова, Южное шоссе;11,8;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1             5;09.01.2025
24;№ 73;ОП ул. Белорусская – ОП Легкоатлетический манеж;ул. Белорусская, Стадион Строитель, Автовокзал, ТПИ, Театр Колесо, Больница, Дом быта, Горсад, ул. Победы, Гостиница Волга, ул. Гагарина, Молодежный б-р, площадь Свободы (обратно Магазин Рубин, к/т Космос), к/т Буревестник, Лесная, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, Утес (прямое направление), Школа № 88, Магазин Ассорти (обратное направление), ул. Тополиная (прямое направление), Школьная, 17 квартал (обратное направление), Строительная, 16 квартал, 12 квартал, Заводская, ул. 40 лет Победы, Медгородок, Детская больница, б-р Здоровья, Пединститут, б-р Туполева, 9 квартал, Телецентр, к/т Ставрополь, б-р Курчатова, ул. Юбилейная, Магазин Восход, Магазин Океан, Дом связи, Ленинский пр-т, 3 квартал, ул. Фрунзе, Поселок Приморский, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец Спорта, б-р Буденного, 8 квартал, Музыкальная школа, Дворец детского творчества, Лесопарковое шоссе, ул. Спортивная, Вега, ул. Революционная, Легкоатлетический манеж;ул.Баныкина, ул. Родины, ул. Республиканская, ул. Белорусская, ул. Ленинградская, ул. К. Маркса, ул. Мира, ул. Победы, ул. Гагарина, ул. Ленина, б-р Молодежный (обратно К. Маркса), ул. К. Маркса, ул.Лесная, Автозаводское шоссе, Южное шоссе, ул. Тополиная, ул. Дзержинского, ул. Автостроителей, ул.40 лет Победы, пр-т Ленинский, пр-т Ст. Разина, ул.Свердлова, пр-т Московский, б-р Приморский,  пр-т Ст. Разина, ул.Спортивная;30,8;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"3
15";01.01.2025
25;№ 84;ОП ул. Есенина – ОП ул. Олимпийская;"Движение в прямом направлении:
ул. Есенина, 3 квартал, МСЧ № 8, Парк, ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, Дачи, Озерки, АвтоВАЗагрегат, Сосновый бор, Кладбище, ТП-20, Дачная, Очистные сооружения, ТП-21, Азотная, Транспортный цех, Автотранспортный цех, Матюшкино, Новоматюшкино, ул. Сиреневая, ул. Полевая, ул. Академика Скрябина, ул. Олимпийская
Движение в обратном направлении:
ул. Олимпийская, ул. Академика Скрябина, ул. Полевая, Школа №83, ул. Сиреневая, Новоматюшкино, Матюшкино, Автотранспортный цех, Гибридный, УТЭП, Рынок, Мясокомбинат, Универмаг, ул. Л. Чайкиной, Сквер Вадима Леванова, Парк, МСЧ № 8, 3 квартал, ул. Есенина";"Движение в прямом направлении:
ул.Коммунистическая, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, Поволжское шоссе, ул.Раздольная, ул.Сиреневая, ул. Олимпийская 
Движение в обратном направлении:
ул.Олимпийская, ул.Сиреневая, ул.Раздольная, Трасса М5, ул. Громовой, ул. Ярославская, ул. Л. Чайкиной, ул. Механизаторов, ул. Коммунистическая";32,9;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"2
3";01.01.2025
;;*ОП ул. Белорусская – ОП ул. Олимпийская;ул. Белорусская, Стадион Строитель, Автовокзал, Автовокзал, ул. Гидростроевская, Магазин Светлана, ул. Жилина, Горсад, Дом природы, 27 квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, ул. Механизаторов, ул. Громовой, Молокозавод, АТК КуЭСП, Рынок, Дачи, Озерки, АвтоВАЗагрегат, Сосновый бор, Кладбище, ТП-20, Дачная, Очистные сооружения, ТП-21, Азотная, Транспортный цех, Автотранспортный цех, Матюшкино, Новоматюшкино, ул. Сиреневая, ул. Полевая, ул. Академика Скрябина, ул. Олимпийская;ул.Баныкина, ул.Родины, ул. Мира, ул. Комсомольская, ул. Кунеевская, ул.Громовой,  Поволжское шоссе, ул.Раздольная, ул. Сиреневая, ул.Олимпийская ;35,4;;;;;;;;;;;01.01.2025
92;№ 65;ОП Западный пляж –  ОП Треугольник – ОП Западный пляж;"Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Вега, ул. Спортивная, Лесопарковое шоссе, Набережная, Лыжная база, Профилакторий Прилесье, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, Медучилище, Школа № 70, 14-А квартал, 14 квартал, Жилой комплекс «Лесной», Школа № 86, Жилой комплекс «Лесная слобода», ул. 70 лет Октября, Рябиновый бульвар, ул. Тополиная, Цветной бульвар, Солнечный бульвар, Бульвар Татищева, Обводное шоссе, 19квартал, 20 квартал, 21 квартал, Треугольник, Дендропарк, Школа № 93, Жилой комплекс ""Лесная слобода"", Школа № 86, Жилой комплекс ""Лесной"", 14 квартал, 14-А квартал, Школа № 70, Медучилище, Медгородок, Детская больница, б-р Здоровья, д/с Дубравушка, д/с Соловушка, д/с Веселая семейка, д/с Елочка, д/с Лесной голосок, Профилакторий Прилесье, Лыжная база, Набережная, Лесопарковое шоссе, Спортивная, Вега, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж";"ул.Спортивная, б-р Приморский, ул. Революционная, ул.Спортивная, ул. Жукова, ул. 40 лет Победы, ул. 70 лет Октября, ул.Автостроителей, Южное шоссе, ул.  40 лет Победы, ул. Жукова, ул.Спортивная, ул.Революционная,    б-р Приморский, ул.
Спортивная";28,0;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;4;01.03.2025
95;№ 68;ОП ул. Есенина –  ОП КВД - ул. Есенина;Есенина, З. Космодемьянской, Тюленина,  Мурысева, МДТ, Колледж, Громовой, Механизаторов, Спецавтохозяйство, Школа № 1, 73-й квартал, магазин Юность, 72-й квартал, АТС-26, Дом природы, Горсад, Жилина, Магазин Светлана, Гидростроевская, Школа-интернат, Детская многопрофильная больница, Мичурина, КВД , КВД ,  Мичурина, Детская многопрофильная больница, Школа-интернат,  Гидростроевская, Магазин Светлана, Жилина, Горсад, Дом природы, АТС-26, 72-й квартал,  магазин Юность,73-й квартал, Школа № 1, Спецавтохозяйство, Механизаторов, Громовой,  Колледж,  МДТ, Мурысева,  ГАИ Комсомольского района, Тюленина, З. Космодемьянской, Есенина;ул.Коммунистическая, ул. Матросова, ул. Громовой, ул. Кунеевская, ул. Баныкина, ул. Голосова, ул. Мира, ул. Родины, ул. Лесная, Автозаводское шоссе, ул. Лесная, ул.Родины, ул. Мира, ул. Голосова, ул.Баныкина, ул. Кунеевская, ул. Громовой, ул. Матросова, ул.Коммунистическая;31,0;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 5 лет;да;да;да;3;20.10.2025
