№ п/п;Наименование
176;ИП Маас Евгения Николаевна (фитнес)
177;Вита
178;Радомир йога дом
179;Клуб силовых видов спорта Титан
180;Sport Town
181;Фитнес клуб БАЗА
182;Метро фитнес
183;Черный носорог
184;Фитнес клуб Kangoo Jumps
185;Фитнес Хаус
186;Фитнес клуб Гарнизон
187;АНО Спорт + здоровье
188;Студия восточного танца Алиша
189;Йога студия Вишну
190;АНО Школа студия танца Креатив
191;ООО ЕВА плюс
192;Фитнес студия Виндзор
193;"Физкультурно-спортивный клуб инвалидов ""Виктория"""
194;"АНО ""Центр иппотерапиии Живой Мир"""
195;"Городская общественная организация инвалидов ""Волжане"""
196;"Организация инвалидов-опорников ""Клио"""
197;"АНО ""Веста"""
198;Автозаводская РОО Оптимист СОО ВОИ
199;Центральная РОО СОО ВОИ
200;Комсомольская районная общ.организация инвалидов
201;Лаборатория Моды(балет)
202;Студия уличных танцев GOOD VIBEZ
203;Студия танца Under Dance
204;Детский клуб Чудесная страна
205;Танцевальная студия Brilliant
206;Студия танца Кармэн
207;Спортивно-танцевальная студия Триумф
208;Спортивно-танцевальный клуб Soul
209;Студия танца и здорового тела Clever
210;Танцевально-спортивный клуб Образ
211;Детская студия эстрадного вокала и танца Абсолют
212;Танцевально-спортивный клуб Звезда
213;Танцевальная студия Eva
214;Студия FoxEnergy
215;Танцевальный коллектив DivaDance
216;Творческий центр ArtWay
217;Школа танца DanceКухня
218;Танцевальная студия Версаль
219;Школа танцев Династия
220;Студия танцев Next Step
221;Школа бальных танцев Дети на паркете
222;Танцмейстер-Бегония
223;Студия современной хореографии Вереск
224;Детский развивающий клуб Пухтик
225;Студия танца Юнтос
226;Детский клуб Познавайка
227;Школа танцев Арабеск
228;Школа танцев Rockerz
229;Танцевально-спортивный клуб Кристалл
230;Академия творчества и интеллектуального развития Точка
231;Танцевально-спортивный клуб Ритм
232;Международная сеть хореографических школ Русский Балет
233;Хореографическое объединение Новая Эра
234;Школа балета LilBallerine
235;танцевальный клуб Дуэт
236;Обучение танцам Dance sport Unity
237;Танцевальная студия Infinity
238;Студия танца Danza
239;Трайбл-студия Караван
240;Студия парных танцев Dance House
241;Танцевально-спортивная студия You Can!
242;Школа уличных и современных танцев Студия 212
243;Центр йоги Студия йоги и танца
244;Детская хореографическая школа Плесецкой
245;Театр танца Кредо
246;Студия танца Ярчи
247;Школа танца Аквамарин
248;Школа танца La Casa Del Tango
249;Школа парных танцев MiCasa
250;Семейный центр развития Злата Дар
251;Студия воздушной гимнастики Crystal Sky
252;Танцевальная школа Dance Fam
253;Школа танцев 8Raйon
254;Школа восточного танца Алиша
255;Театр танца Седьмое Небо
256;Школа танцев Just Dance
257;Танцевально-спортивный клуб Совершенство
258;Школа обучения танцам Protest Family
259;Танцевальный клуб Парадайс
260;Школа восточного танца Арабиа
261;Танцевально-спортивный клуб Успех!
262;Детский клуб Sport Time
263;Танцевально-спортивный клуб Престиж
264;Студия танца Time Step
265;Спортивный клуб Фристайл
266;Школа танцев Гавс Брейкер
267;Танцевально-спортивный клуб Эксклюзив
268;Танцевальная студия Кныш Оксаны
269;Детский центр развития способностей Studio Kids
270;Студия танцев East
271;Танцевально-спортивный клуб Верона
272;Досуговый центр Русич
273;Ансамбль танца Поток
274;Школа танца Самоцветы
275;Ансамбль современного эстрадного танца Звездное небо
276;Студия современного танца Ювента
277;Танго клуб El Choclo
278;Танцевальная школа AlbaDanceStudio
279;Школа фитнеса и пол-дэнса Fitness Sister Studio
280;Танцевальная студия TLTango-Провинция
281;Центр эстетического развития Creative
282;Шоу-группа Вива
283;Студия бального танца Алый Парус
284;Школа восточного танца Танцуй
285;Танцевально-спортивный клуб Эмпилс
286;Школа танцев Outside
287;студия спортивно-эстрадного танца Радость
288;Студия танца Аль Нар
289;Студия танца Лайт
290;Студия танца Дебют
291;Студия танцев Tabasco
292;Школа танцев Dance Class
293;Хореография Pinetka
294;"Танцевально-спортивный клуб ""Тандем-Прайм"""
295;"Школа танцев ""Dance.lab"""
296;"Студия танцев ""Modern"""
297;"Детская хореографическая студия ""Балерина"""
298;Центр эффективного развития Мир Без Границ
299;Студия йоги Парамита
300;Поволжская ассоциация Йоги
301;Центр йоги и восточных практик Кайлас
302;Центр йоги Лила
303;Студия йоги Всем намасте
304;Студия йоги Жемчужина
305;Клуб йоги Вершина
306;Студия йоги и танца
307;Студия йоги Вишну
308;Центр йоги и аюрведы Оксаны Палкиной
309;Студия Йога-7
310;Центр йоги Sahaja yoga
311;Студия танцев и йоги Shake
312;Школа BMX
313;Велошкола Тольятти
314;Роллердром WildChild
315;Школа каратэ Рекорд
316;Школа бокса им.МСМК Власова
317;Хоккейная школа Fly Pro
318;Детско-юношеский клуб фигурного и синхронного катания на коньках
319;Футбольный клуб Акрон
320;СТК им.Степанова
321;Спортивный клуб Юность
322;Детская футбольная школа ЮниЮве
323;Спортивный клуб Единство
324;Лада-Бокс
325;LotuSport`s Club R Home (клуб смешанных единоборств)
326;Лыжная школа SKI TLT (swim tlt и Run tlt)
327;Тема спорта
328;Сноуборд школа Slide
329;Национальный Союз МуайТай и К1
330;Спортивный клуб Новое поколение
331;"АНО ЦРД ""Гармония развития"""
332;"ООО ""24"""
333;ГАУ СО Арена
334;Школа волейбола Меркурий
335;"Футбольный клуб ""Торпедо"""
336;"Спортивный клуб ""Дракон"""
337;Тольяттинская Федерация тхэквондо ИТФ
338;Федерация дзюдо и самбо
339;Национальный союз Кекушинкай
340;"Федерация спортивного танца ""Брэйк-Данс"""
341;АНО Скейт-Парк
342;Федерация бадминтона
343;Федерация баскетбола
344;Фитнес клуб Импульс
345;Фитнес клуб Эндорфин
346;Центр коррекции фигуры Lady`sOnly
347;Студия растяжки AgataPRO
348;Фитнес-клуб Lady Stretch
349;Студия Красивое тело
350;Женская фитнес студия Формула Стройности
351;Студия растяжки и фитнеса Keep U Body
352;Rave premium studio
353;FitnessBoom
354;Танцевальная студия Облака
