title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Лицей № 67"" ";"445051 г. Тольятти, пр -кт Степана Разина, 73";34-62-88  ;Колосов Константин Александрович ;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 69"" ";"445039 г. Тольятти, ул. 40 лет Победы, 120";30-86-88  ;Синявский Станислав Николаевич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 70"" ";"445056 г. Тольятти, ул. 40 лет Победы, 74";30-66-88 30-67-73 ;Жигулевцева Ольга Борисовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 72 имени Героя Советского Союза  А.В. Голоднова»   ";"445039 г. Тольятти, ул. Автостроителей, 92 ";30-64-15 30-57-58  ;Гамов Сергей Иванович ;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 73 имени Героя Советского Союза Н.Ф. Карацупы"" ";"445057 г. Тольятти, ул. Юбилейная, 81";34-86-37  ;Грошева Татьяна Рудольфовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 74 имени Героя Советского Союза Владимира Петровича Кудашова""";"445044 г. Тольятти, ул. Ворошилова, 21";30-05-16  ;Стрельникова Ольга Геннадьевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Лицей № 76 имени В.Н.Полякова"" ";"445057 г. Тольятти, пр-кт Степана Разина, 78";34-10-07  ;Коняхина Юлия Станиславовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Гимназия № 77""";"445044 г. Тольятти, ул. Ворошилова, 3";32-61-83 ;Усиевич Татьяна Аркадьевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 79  имени П.М. Калинина"" ";"445044 г. Тольятти, Бульвар Космонавтов, 17";30-15-39  ;Тарасова Марина Анатольевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти  ""Школа № 81 имени А.А. Санжаревского"" ";"445039 г. Тольятти, ул. 40 лет Победы, 106";30-84-29  ;Кравцевич Нина Витальевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 82"" ";"445030 г. Тольятти, Цветной бульвар, 18";73-36-34 ;Ульянов Виктор Николаевич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа №84 имени Александра Невского""";"445030 г. Тольятти, Цветной бульвар, 18";30-44-32  ;Чесноков Сергей Николаевич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 86 имени Ю.А. Гагарина"" ";"445030 г. Тольятти, ул. 40 лет Победы, 44";20-36-61 ;Юрченко Клавдия Сергеевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти школа ""Образовательный центр ""Галактика""";"445047 г. Тольятти, ул. Тополиная, 5";30-65-79 31-87-40 ;Дернова Лариса Владимировна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 89 имени В.И. Исакова""";"445042 г. Тольятти, ул. Дзержинского, 39";33-22-23 33-12-42 ;Бражникова Татьяна Степановна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа №90""";"445031 г. Тольятти, бульвар Татищева, 19";30-86-16 ;Подоляко Виталий Игоревич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 93 имени ордена Ленина и ордена Трудового Красного Знамени Куйбышевгидростроя"" ";"445017 г. Тольятти, 40 лет Победы, 10 ";72-12-60 72-12-70  ;Родионов Александр Геннадиевич ;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 94"" ";"445017 г. Тольятти, бульвар Курчатова,2 ";32-80-14  ;Иванова Римма Павловна ;Департамент образования
Муниципальное бюджетное учреждение спортивная школа олимпийского резерва № 8 «Союз» городского округа Тольятти;"445027 г. Тольятти, Бульвар Буденного, 20";35-63-96 70-43-72 ;Мазуров Андрей Александрович;Департамент физической культуры и спорта
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Центр детско-юношеского туризма ""Эдельвейс"" городского округа Тольятти";"445039 г. Тольятти, Бульвар Гая, 14";300-971 ;Мельникова Татьяна Алексеевна;Департамент образования
Муниципальное бюджетное образовательное учреждение дополнительного образования «Планета» городского округа Тольятти;"445056 г. Тольятти, ул. 40 лет Победы, 70";30-47-16 66-22-44 ;Вдовина Елена Николаевна;Департамент образования
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Дворец детского и юношеского творчества"" городского округа Тольятти";"445042 г. Тольятти, пр-кт Степана Разина, 99";34-33-89 ;Леснякова Татьяна Ивановна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 22 «Лучик» городского округа Тольятти;"445040 г. Тольятти, ул. Свердлова, 7";33-17-18 ;Айзятова Анна Сергеевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 64 ""Журавленок"" городского округа Тольятти";"445024 г. Тольятти, ул. Свердлова, 70";37-66-65  ;Куренкова Оксана Владимировна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 73 «Дельфин» городского округа Тольятти;"445032 г. Тольятти, ул. Кулибина, 1";"37-27-12, 37-27-15 ";Андреенко Татьяна Александровна;Департамент образования
"Муниципальное автономное дошкольное образовательное учреждение детский сад № 79 ""Гусельки"" городского округа Тольятти";"445026 г. Тольятти, бульвар Баумана, 20";37-24-61 ;Волик Яна Олеговна;Департамент образования
"Муниципальное автономное дошкольное образовательное учреждение детский сад  № 80 ""Песенка"" городского округа Тольятти";"445027 г. Тольятти, Приморский бульвар, 16";35-27-94  ;Рогдева Татьяна Владимировна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад  № 81 ""Медвежонок"" городского округа Тольятти";"445026 г. Тольятти, ул. Революционная, 46";37-63-07  ;Козырева Галина Владимировна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад №116 «Солнечный» городского округа Тольятти;"445037 г. Тольятти, Бульвар Орджоникидзе, 17";32-17-52  ;Ладыка Екатерина Георгиевна;Департамент образования
"Муниципальное автономное дошкольное образовательное учреждение детский сад № 120 ""Сказочный"" городского округа Тольятти";"445036 г. Тольятти, Бульвар Курчатова, 9";32-64-58 ;Вареницина Галина Геннадьевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад  № 126 ""Солнечный зайчик"" городского округа Тольятти";"445040 г. Тольятти, пр-кт Степана Разина, 31";33-33-30 ;И.о. Бочкарева Екатерина Юрьевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 128 ""Гвоздичка"" городского округа Тольятти";"445040 г. Тольятти, пр-кт Степана Разина, 37";32-72-11  ;Шубина Елена Олеговна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 197 «Радуга» городского округа Тольятти;"445057 г. Тольятти, Приморский бульвар, 35";34-65-00  ;Мелькина Валентина Валентиновна;Департамент образования
"Муниципальное автономное  дошкольное образовательное учреждение детский сад  № 200 ""Волшебный башмачок"" городского округа Тольятти";"445056 г. Тольятти, ул. Дзержинского, 1";30-39-49  ;Краснова Наталья Сергеевна;Департамент образования
"Муниципальное автономное дошкольное  образовательное учреждение детский сад  № 210 ""Ладушки"" городского округа Тольятти";"445030 г. Тольятти ул. 40 лет Победы, 32";76-15-15 ;Андрианова Ольга Юрьевна ;Департамент образования
Муниципальное бюджетное учреждение дополнительного образования  детская художественная школа № 3 городского округа Тольятти;"445044 г. Тольятти, б-р Космонавтов, д.23";58-12-77 ;Бодяева Людмила Владимировна;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования детская школа искусств «Камертон» городского округа Тольятти;"445056 г. Тольятти, ул.40  Победы, д.86";30-58-58 30-58-59  ;Кудрявцева Татьяна Васильевна;Департамент культуры
Муниципальное бюджетное образовательное учреждение дополнительного образования  детская хореографическая школа имени М.М. Плисецкой городского округа Тольятти;"445057 г. Тольятти, бульвар Королева,д.1";95-83-16 95-64-93 95-54-54 ;Горковенко Надежда Васильевна;Департамент культуры
"Муниципальное казенное учреждение городского округа Тольятти ""Центр профилактики правонарушений""";"445026, г.Тольятти, ул.Свердлова, д.51 ";79-09-06 ;Кузнецов Олег Анатольевич;Департамент общественной безопасности и противодействия коррупции
Муниципальное бюджетное образовательное учреждение дополнительного профессионального образования «Курсы гражданской обороны города Тольятти»;"445036 г. Тольятти, бульвар Курчатов, д.10 ";"66-65-25, 32-27-39 ";Черняков Владимир Анатольевич;Департамент общественной безопасности и противодействия коррупции
Муниципальное бюджетное образовательное учреждение дополнительного образования Детский Дом культуры городского округа Тольятти;"445028 г. Тольятти, ул.Свердлова, 51";37-30-45 37-03-42 37-02-12 ;Морозова Валентина Александровна;Департамент культуры
Муниципальное бюджетное учреждение спортивная школа олимпийского резерва № 12 «Лада» городского округа Тольятти;"445034, г.Тольятти, ул. Революционная, д. 80 ";58-09-52 ;Малахов Олег Владимирович;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение городского округа Тольятти «Новости Тольятти»;"445026 г. Тольятти, Площадь Свободы, 4";"54-37-52, 54-37-32 ";Автаева Евгения Николаевна;Организационное управление.
Муниципальное бюджетное образовательное учреждение дополнительного образования детская школа искусств «Форте» городского округа Тольятти;"445039 г. Тольятти, б-р Гая, 3";30-97-98 66-04-67  ;Кочетов Валерий Викторович;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования детская музыкальная школа № 4 имени заслуженного работника культуры Российской Федерации Владимира Михайловича Свердлова городского округа Тольятти;"445057 г. Тольятти, ул. Ст.Разина, д.95 филиал: 445051 г. Тольятти,ул.Фрунзе, д.2";"55-10-05, 55-10-10,  ";Цирульников Борис Альбертович ;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования  спортивная школа олимпийского резерва № 10 «Олимп» городского округа Тольятти;"445028 г. Тольятти, Приморский бульвар, д. 49";35-19-19 35-34-55 ;Степанов Андрей Витальевич ;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение дополнительного образования детская школа искусств «Лицей искусств»им. В.Н. Сафонова городского округа Тольятти;"445036 г. Тольятти, бульвар Курчатова, д.2";32-07-72 32-10-76  ;Печников Андрей Владимирович;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования детская художественная школа имени Марка Шагала городского округа Тольятти;"445039 г. Тольятти, ул. Свердлова, д.10";31-88-35  ;Фрейдлина Марина Александровна ;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования детская школа искусств имени Г.В. Свиридова городского округа Тольятти;"445044 г. Тольятти, ул. Автостроителей, д.26 ";30-94-14 30-93-78  ;Бычкарь Олег Григорьевич;Департамент культуры
Муниципальное бюджетное образовательное учреждение дополнительного образования детская школа искусств «Гармония» городского округа Тольятти;"445037 г. Тольятти, ул. Ленинский проспект, д.20 "; 32-80-82 32-79-92 ;Веренева Наталья Леонидовна;Департамент культуры
Муниципальное предприятие городского округа Тольятти «Тольяттинское троллейбусное управление»;"445043 г. Тольятти, ул. Громовой, 55";39-10-49 24-35-75 ;Растегаев Евгений Валериевич;Департамент дорожного хозяйства и транспорта
"Муниципальное автономное учреждение городского округа Тольятти ""Театр юного зрителя ""Дилижанс""";"445036 г. Тольятти проспект Ст.Разина, 93";34-20-50 ;Миронова Ирина Алексеевна;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 13 «Волгарь» городского округа Тольятти;"445047 г. Тольятти, Приморский бульвар, д. 37";35-53-59 34-76-92  ;Дементьев Дмитрий Васильевич;Департамент физической культуры и спорта
Муниципальное автономное учреждение городского округа Тольятти «Агентство экономического развития»;"445057, г. Тольятти, бульвар Королева, д.13.";31-00-06 ;Шайхутдинов Назир Фаритович;Департамент экономического развития
Муниципальное бюджетное учреждение спорта Центр физической культуры и спорта городского округа Тольятти;"445051 г. Тольятти, ул. Карла Маркса, 30 ";48-86-11 35-18-18  ;Данилова Ольга Александровна;Департамент физической культуры и спорта
"Муниципальное казенное учреждение «Центр поддержки общественных инициатив""";"445020, г.Тольятти, Ул.Белорусская, 33";31-50-56 ;Сергеева Лариса Геннадьевна;Управление взаимодействия с общественностью 
"Муниципальное казенное учреждение городского округа Тольятти ""Центр хозяйственно-траспортного обеспечения""";"445009 г.Тольятти, ул. Октябрьская, каб. 59";79 03 75 ;Шатохин Валерий Павлович;Организационное управление.
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 41 ""Огонек"" городского округа Тольятти";"445017 г.о. Тольятти, ул. Ленина, 109";22-06-76 ;Слободенюк Елена Владимировна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 34  ""Золотая рыбка"" городского округа Тольятти";"445020 г.о. Тольятти, ул. Белорусская, д. 8";28-12-78 ;Линкова Наталья Михайловна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Кадетская школа № 55 имени русского полководца Александра Васильевича Суворова""";"445008 г.о. Тольятти, ул. Л. Чайкиной, д. 57";24-12-12 ;Жуковец Николай Николаевич;Департамент образования
Муниципальное бюджетное учреждение дополнительного образования детская художественная школы им. И.Е.Репина городского округа Тольятти;"445046 г.о. Тольятти, ул. Механизаторов, д. 20-А";24-76-57  75-49-89 ;Иванкова Любовь Ивановна;Департамент культуры
Муниципальное автономное учреждение городского округа Тольятти «Культурный Центр «Автоград»;"445028 г.о. Тольятти, ул. Юбилейная, д. 8";35-76-50 ;Лоскутов Дмитрий Юрьевич;Департамент культуры
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 34"" ";"г.о. Тольятти, бульвар Королева, д. 12";35-97-89 ;Стегачева Алла Евгеньевна;Департамент образования
"Муниципальное автономное учреждение культуры городского округа Тольятти ""Парковый комплекс истории техники имени К.Г. Сахарова""";"450000 г. Тольятти, ул. Южное шоссе, 137";"94-00-56,  94-00-59 ";Никитин Дмитрий Валериевич;Департамент культуры
"Муниципальное казенное учреждение городского округа Тольятти ""Тольяттинский архив""";"445021, г.Тольятти, ул. Ленинградская, 49";48-45-82 31-02-47 ;Даршт Ольга Эдуардовна;Управление по делам архивов
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 18 имени Ф.М. Колыбова"" ";"445012, г. Тольятти, ул. Мурысева, 89а";24 20 51 ;Иванюк Ирина Вячеславовна;Департамент образования
Муниципальное автономное образовательное учреждение дополнительного профессионального образования Центр информационных технологий городского округа Тольятти;"445011 г.Тольятти, ул. К. Маркса, 27а ";22-37-73 ;Копылова Галина Владимировна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад  № 84 ""Пингвин"" городского округа Тольятти";"445009 г. Тольятти, ул. Комсомольская, 155";76-82-80 ;Волынцева Марина Евгеньевна;Департамент образования
"Муниципальное казенное учреждение ""Центр гражданской защиты городского округа Тольятти"" ";"445042 г.Тольятти, ул.Карла Маркса, д.44";22-93-82 26-52-52 26-54-67 ;Дербенев Андрей Викторович;Департамент общественной безопасности и противодействия коррупции
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 71""";"445042, г.Тольятти, бульвар Луначарского, 11";33-13-39 ;Архипова Людмила Викторовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 47 имени М.В. Демидовцева""";"445040, г. Тольятти, бульвар Туполева, 12";33 55 91 36-64-77 ;Прокопченко Ирина Витальевна;Департамент образования
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Центр творчества ""Свежий ветер"" городского округа Тольятти";"445042, г. Тольятти, б-р Луначарского, д. 19";"33-31-54, 33-31-53 ";Мурышова Светлана Владимировна;Департамент образования
"Муниципальное бюджетное учреждение дополнительного образования ""Детская школа искусств Центрального района"" городского округа Тольятти ";"445017 г.о. Тольятти, ул. Победы, 46";"26-37-53, 26-77-11 ";Скрипачева Ирина Александровна;Департамент культуры
"Муниципальное казенное учреждение городского округа Тольятти ""Тольяттинское лесничество""";"445022 г. Тольятти ул. Ленина, 44";70-50-80 ;Подгорнов Анатолий Александрович;Департамент городского хозяйства
"";""; ;"";Управление муниципальной службы и кадровой политики
"Муниципальное казенное учреждение городского округа Тольятти ""Ритуал""";"Самарская область, г. Тольятти, Поволжское шоссе, 5"; ;Грачев Анатолий Львович;Департамент городского хозяйства
