title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное автономное  дошкольное образовательное учреждение детский сад № 49  ""Весёлые нотки"" городского округа Тольятти";"445035 г. Тольятти, ул. Мира, 156";26-14-95 26-14-88  ;Кирсанова Татьяна Витальевна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 50 «Синяя птица» городского округа Тольятти;"445020 г. Тольятти, ул. Советская, 81 а";31-77-09 ;Рузанова Ирина Анатольевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 51 ""Чиполлино"" городского округа Тольятти";"445017 г. Тольятти, ул. Победы, 54";26-17-47 ;Степанова Вера Николаевна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 53 «Чайка» городского округа Тольятти;"445010 г. Тольятти, ул. Мира, 10";63-85-46 48-05-18  ;Степанова Светлана Леонидовна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 54 «Аленка» городского округа Тольятти;"445021 г. Тольятти, ул. Голосова, 101";26-60-27  ;Галкина Антонина Сергеевна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 56 «Красная гвоздика» городского округа Тольятти;"445020 г. Тольятти, ул. Ушакова, 50 ";48-28-91  ;Сандрацкая Екатерина Васильевна ;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 76 «Куколка» городского округа Тольятти;"445017 г. Тольятти, ул. Победы, 76";26-17-79  ;Лапина Наталья Геннадьевна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 90 «Золотое зернышко» городского округа Тольятти;"445004 г. Тольятти, ул. 50 лет Октября, 17";31-63-95 ;Усова Лариса Анатольевна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 93 «Мишутка» городского округа Тольятти;"445021 г. Тольятти, ул Мира, 81";26-11-88  ;Резник Лилия Ишбулдыновна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 100 ""Островок"" городского округа Тольятти";"445011 г. Тольятти, ул. Ставропольская, 102";48-11-98  ;Мамуткина Елена Николаевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад №104  ""Соловушка"" городского округа Тольятти";"445009 г. Тольятти, ул. Шлютова, 130";22-54-78 ;Кичатова Ольга Анатольевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 110 ""Белоснежка"" городского округа Тольятти";"445023 г. Тольятти, Бульвар Ленина, 17";26-04-16 ;Тимошкова Татьяна Андреевна;Департамент образования
Муниципальное бюджетное учреждение культуры городского округа Тольятти «Тольяттинский художественный музей»;"445023 г. Тольятти, бульвар Ленина, д.22";40-30-98 48-20-89  70-30-98 ;Баранова Марина  Викторовна ;Департамент культуры
Муниципальное казенное учреждение «Центр организации дорожного движения городского округа Тольятти»;"445010 г. Тольятти, ул.Мира, д.33";48-25-10 ;Ященко Денис Сергеевич;Департамент дорожного хозяйства и транспорта
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 6 «Теннис» городского округа Тольятти;"445021 г. Тольятти, ул. Баныкина, д.19-А";40-16-03 40-16-01 40-16-02 ;Зимин Андрей Владимирович;Департамент физической культуры и спорта
"Муниципальное автономное образовательно-оздоровительное учреждение ""Пансионат ""Радуга"" городского округа Тольятти";"445011 г. Тольятти, Лесопарковое шоссе, 36";48-98-42  ;Микель Елизавета Борисовна;Департамент образования
Муниципальное бюджетное учреждение дополнительного образования детская художественная школа № 1 городского округа Тольятти;"445004 г. Тольятти, ул. Лесная, д.46 ";22-60-04  ;Кругляков Вячеслав Георгиевич ;Департамент культуры
Муниципальное  бюджетное  учреждение  культуры городского округа Тольятти «Городской музейный комплекс «Наследие (экомузей)»;"445011 г. Тольятти, ул. Советская, д.39";48-72-85 48-73-02 ;Клевакина Елена Ивановна;Департамент культуры
"Муниципальное автономное учреждение искусства городского округа Тольятти ""Драматический театр ""Колесо"" имени народного артиста России Глеба Борисовича Дроздова""";"445020 г. Тольятти, ул. Ленинградская, д.31";55-52-05 ;Тиунов Вячеслав Владимирович;Департамент культуры
Муниципальное бюджетное учреждение искусства городского округа Тольятти «Тольяттинский театр кукол»;"445023, г. Тольятти, Площадь Свободы, д.2 ";28-20-82 28-00-17 48-28-03 28-35-83 55-81-55 ;Булюкина Надежда Валентиновна;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 2 «Ювента» городского округа Тольятти;"445000 г.Тольятти, ул. Жукова, д.13-Б ";69-23-77 ;Иванина Наталья Николаевна;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение городского округа Тольятти «Архитектура и градостроительство»;"445021 г. Тольятти, ул. Победы, д.52";26-24-40  ;Керасирова Татьяна Ивановна;Департамент градостроительной деятельности
Муниципальное бюджетное учреждение культуры городского округа Тольятти «Тольяттинский краеведческий музей»;"445023 г. Тольятти, бульвар Ленина, д.22 ";48-35-74 48-45-15 48-55-68 ;Ланкова Наталья Михайловна;Департамент культуры
