№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
545;П1300000007269;63:09:0201060:15883;Нежилое здание;ЦТП №56 (36/12);Самарская область, Комсомольский район, г. Тольятти, ул. Гидротехническая, д. 13;286,7;Казна
546;П1300000009262;63:09:0201060:15897;Нежилое здание;Соленасосная;Самарская область, Комсомольский район, г. Тольятти, ул. Энергетиков, д. 23;12,3;Казна
547;П1300000013672;63:09:0201060:16008;Нежилое здание;Трансформаторная подстанция № 594;Самарская область, Комсомольский район, г. Тольятти, ул. Гидротехническая, д. 30, стр. В;52,8;Казна
548;П1300000008696;63:09:0201061:3342;Нежилое здание;котельная № 7;Самарская область, Комсомольский район, г. Тольятти, ул. Ингельберга, д. 9А;242,8;Казна
549;П1300000012519;63:09:0201062:1727;Нежилое здание;Универсально-спортивный комплекс с инженерно-техническим обеспечением;Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 7А;1437,8;Оперативное управление
550;П1300000008632;63:09:0201062:1817;Нежилое здание;Школа № 11;Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 7;11098,1;Оперативное управление
551;П1300000007271;63:09:0201062:4966;Нежилое здание;Нежилое здание (ЦТП № 70);Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 11А;278,8;Казна
552;П1300000005723;63:09:0201062:5031;Нежилое здание;ТП-492 (трансформаторная подстанция);Самарская область, Комсомольский район, г. Тольятти, ул. Телеграфная, д. 34, стр. Б;25,3;Казна
553;П1300000008638;63:09:0201062:5056;Нежилое здание;Нежилое здание;Самарская область, Комсомольский район, г. Тольятти, ул. Телеграфная, д. 4;1894,4;Казна
554;П1300000008678;63:09:0201062:5146;Нежилое здание;Хлораторная;"Самарская область, Комсомольский район, г. Тольятти, Водозабор "" Жиг.море""";133,2;Казна
555;П1300000006045;63:09:0201062:5490;Нежилое здание;ЦТП № 71 (19/24);Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 64В;284,7;Казна
556;П1300000007429;63:09:0201062:5491;Нежилое здание;Хозблок;Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 7, стр.;188,4;Оперативное управление
557;П1300000009263;63:09:0202051:1002;Нежилое здание;Мазутонасосная станция;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43;383,3;Казна
558;П1300000007308;63:09:0202051:589;Нежилое здание;Тяговая подстанция  № 4;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 13;193,2;Хозяйственное ведение
559;П1300000008756;63:09:0202051:590;Нежилое здание;Склад электрооборудования;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43, стр.;41,1;Казна
560;П1300000008755;63:09:0202051:597;Нежилое здание;Здание конденсатоочистки;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43, стр.;73,6;Казна
561;П1300000008753;63:09:0202051:600;Нежилое здание;Станция жидких присадок;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43, стр.;16,7;Казна
562;П1300000008695;63:09:0202051:603;Нежилое здание;Котельная № 2;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43;5550,5;Казна
563;П1300000008736;63:09:0202051:607;Нежилое здание;Нежилое здание;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43, стр.;38,3;Казна
564;П1300000008754;63:09:0202051:608;Нежилое здание;Склад кислоты;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43, стр.;50,6;Казна
565;П1300000009257;63:09:0202051:620;Нежилое здание;ТП-549 (трансформаторная подстанция);Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43;92,7;Казна
566;П1300000009071;63:09:0202051:920;Нежилое здание;ТП-453 (трансформаторная подстанция);Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 29, стр. Е;40,9;Казна
567;П1300000006047;63:09:0202051:956;Нежилое здание;Склад;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 43;564,7;Казна
568;П1300000006494;63:09:0202052:1285;Нежилое здание;ТП-447 (трансформаторная подстанция);Самарская область, Комсомольский район, г. Тольятти, ул. Коммунистическая, д. 122, стр. А;61,1;Казна
569;П1300000006493;63:09:0202052:1287;Нежилое здание;Бытовое помещение;Самарская область, Комсомольский район, г. Тольятти, ул. Коммунистическая, д. 122;22,1;Казна
570;П1300000008720;63:09:0202052:1305;Нежилое здание;Газораспределительный пункт 2 к котельной № 8 (ГРП 190) ;Самарская область, Комсомольский район, г. Тольятти, ул. Магистральная, д. 5, стр. Б;170,6;Казна
571;П1300000008721;63:09:0202052:1352;Нежилое здание;ГРП № 86 (газораспределительный пункт);Самарская область, Центральный район, г. Тольятти, ул. Комсомольская, д. 96, стр. Б;174,5;Казна
572;П1300000008624;63:09:0202052:1393;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 18;10786,5;Оперативное управление
573;П1300000009094;63:09:0202053:1068;Нежилое здание;КНС-7;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 60;48,2;Казна
574;П1300000009458;63:09:0202053:623;Нежилое здание;Нежилое здание;Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 72, стр.;12,6;Казна
575;П1300000011330;63:09:0202053:624;Нежилое здание;Нежилое здание;Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 72, стр.;157,4;Казна
576;П1300000009082;63:09:0202054:677;Нежилое здание;Диспетчерский пункт;Самарская область, Комсомольский район, г. Тольятти, ул. Никонова, д. 41, стр. Б;168,9;Казна
577;П1300000005685;63:09:0204065:513;Нежилое здание;Тяговая подстанция № 20;Самарская область, Комсомольский район, г. Тольятти, ш. Поволжское, д. 8;224,5;Хозяйственное ведение
578;П1300000010529;63:09:0204065:514;Нежилое здание;Тяговая подстанция № 19;Самарская область, Комсомольский район, г. Тольятти, ш. Поволжское, д. 6;222,8;Хозяйственное ведение
579;П1300000007011;63:09:0204065:518;Нежилое здание;Нежилое здание (общественный туалет);Самарская область, Комсомольский район, г. Тольятти, ш. Поволжское, д. 5;28,7;Казна
580;П1300000007012;63:09:0204065:519;Нежилое здание;Нежилое здание (общественный туалет);Самарская область, Комсомольский район, г. Тольятти, ш. Поволжское, д. 5;29;Казна
581;П1300000007010;63:09:0204065:520;Нежилое здание;Нежилое здание (общественный туалет);Самарская область, Комсомольский район, г. Тольятти, ш. Поволжское, д. 5;28,8;Казна
582;П1300000006308;63:09:0204065:521;Нежилое здание;Нежилое здание (цветочный павильон);Самарская область, Комсомольский район, г. Тольятти, ш. Поволжское, д. 5;38,3;Казна
583;П1300000007357;63:09:0204066:508;Нежилое здание;Тяговая подстанция № 21;Самарская область, муниципальный район Ставропольский, с. Васильевка, 1800 м восточнее границы села Васильевка;224,4;Хозяйственное ведение
584;П1300000007960;63:09:0204067:1052;Нежилое здание;РП-12;Самарская область, Комсомольский район, г. Тольятти, ул. Нижнегородская, д. 42, стр. А;50,5;Казна
585;П1300000014230;63:09:0204067:1342;Нежилое здание;Нежилое здание, Детский сад, расположенный по адресу: Самарская область, г. Тольятти, Комсомольский район, мкр. Жигулевское море;Самарская область, Комсомольский район, г. Тольятти, ул. Ивана Красюка, д. 1;3250;Оперативное управление
586;П1300000007373;63:09:0204068:548;Нежилое здание;Склад для троллейбусов депо на 100 машин;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, стр. 6;235,4;Хозяйственное ведение
587;П1300000007374;63:09:0204068:549;Нежилое здание;Контрольная при въезде;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, стр. 1;10;Хозяйственное ведение
588;П1300000007358;63:09:0204068:554;Нежилое здание;Производственный корпус 2 очереди Депо № 3;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, стр. 2;438,7;Хозяйственное ведение
589;П1300000007372;63:09:0204068:555;Нежилое здание;Контрольная на выезде;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, стр. 3;10,2;Хозяйственное ведение
590;П1300000005684;63:09:0204068:556;Нежилое здание;Тяговая подстанция № 18;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, стр. 4;584,5;Хозяйственное ведение
591;П1300000007087;63:09:0204068:559;Нежилое здание;Административно-бытовой корпус, столовая административно-бытового корпуса, производственный корпус;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55;10576,5;Хозяйственное ведение
592;П1300000009499;63:09:0204068:561;Нежилое здание;Приемный резервуар;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 49, стр. А;145,4;Казна
593;П1300000007361;63:09:0204068:569;Нежилое здание;Маслосклад  депо № 3;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, стр. 7;24,3;Хозяйственное ведение
594;П1300000014335;63:09:0204068:836;Нежилое здание;Подземная стоянка электрокар (ЗС ГО № 457-63);Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55, строение 5;384,3;Хозяйственное ведение
595;П1300000005893;63:09:0205030:1098;Нежилое здание;Здание (лит. А15) - Административное;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";106,2;Казна
596;П1300000009158;63:09:0205030:1104;Нежилое здание;Гараж;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 42, строение 10;27,5;Оперативное управление
597;П1300000005895;63:09:0205030:1235;Нежилое здание;Здание (лит. А18) - Домик отдыха;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";16;Казна
598;П1300000005889;63:09:0205030:1237;Нежилое здание;Здание (лит. А2) - Клуб;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";118,9;Казна
599;П1300000006001;63:09:0205030:1239;Нежилое здание;Здание (лит. А19) - Домик отдыха;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";16,2;Казна
600;П1300000006010;63:09:0205030:1240;Нежилое здание;Здание (лит. А12) - Домик отдыха;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";35,1;Казна
601;П1300000006004;63:09:0205030:1244;Нежилое здание;Здание (лит. А22) - Бар;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";23,8;Казна
602;П1300000006011;63:09:0205030:1245;Нежилое здание;Здание (лит. А13) - Домик отдыха;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";35,1;Казна
603;П1300000005892;63:09:0205030:1248;Нежилое здание;Здание (лит. А14) - Баня;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";22,7;Казна
604;П1300000006003;63:09:0205030:1250;Нежилое здание;Здание (лит. А21) - Медпункт;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";23,8;Казна
605;П1300000006012;63:09:0205030:1251;Нежилое здание;Здание (лит. А28) - Домик отдыха;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";15,6;Казна
606;П1300000005894;63:09:0205030:1252;Нежилое здание;Здание (лит. А16) - Баня;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";22,7;Казна
607;П1300000006002;63:09:0205030:1253;Нежилое здание;Здание (лит. А20) - Домик отдыха;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";16,4;Казна
608;П1300000006704;63:09:0205030:1307;Нежилое здание;Здание хозблока (Лит. А5) (с мансардой);Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 3;209,5;Оперативное управление
609;П1300000006705;63:09:0205030:1308;Нежилое здание;Здание (Лит. А10) - Домик  шлакоблочный;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 8;87,5;Оперативное управление
610;П1300000006698;63:09:0205030:1309;Нежилое здание;Домик шлакоблочный;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 7;88,1;Оперативное управление
611;П1300000006706;63:09:0205030:1310;Нежилое здание;Домик шлакоблочный (лит. А11);Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 9;88,2;Оперативное управление
612;П1300000006699;63:09:0205030:1311;Нежилое здание;Домик шлакоблочный;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 6;87,6;Оперативное управление
613;П1300000006702;63:09:0205030:1312;Нежилое здание;Домик шлакоблочный - медпункт;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 4;88,2;Оперативное управление
614;П1300000006708;63:09:0205030:1313;Нежилое здание;Здание столовой (Лит.А2А3А4) с коммуникациями;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 2;367,6;Оперативное управление
615;П1300000006707;63:09:0205030:1314;Нежилое здание;Здание (Лит. А1) - Зрительный зал;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42 строение 1;235,5;Оперативное управление
616;П1300000006703;63:09:0205030:1315;Нежилое здание;Здание (Лит. А7) - Домик шлакоблочный;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42, строение 5;88,6;Оперативное управление
617;П1300000014261;63:09:0205030:1699;Нежилое здание;Нежилое здание (лит. А33);"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";32,9;Казна
618;П1300000014251;63:09:0205030:1700;Нежилое здание;Нежилое здание (лит. А32);"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";95,3;Казна
619;П1300000013816;63:09:0205030:1724;Нежилое здание;Здание (лит. А26) - Сторожка;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";21,2;Казна
620;П1300000013817;63:09:0205030:1725;Нежилое здание;Здание (лит. А27) - Склад;"Самарская область, Комсомольский район, г. Тольятти, п/о Копылово, т/б ""Родничок""";85,6;Казна
621;П1300000007936;63:09:0205030:735;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;24,8;Казна
622;П1300000006712;63:09:0205030:749;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;26,1;Казна
623;П1300000008788;63:09:0205030:750;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;52,6;Казна
624;П1300000009073;63:09:0205030:751;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;54;Казна
625;П1300000009303;63:09:0205030:757;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;25,2;Казна
626;П1300000006335;63:09:0205030:758;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;26;Казна
627;П1300000009160;63:09:0205030:759;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;33,2;Казна
628;П1300000009161;63:09:0205030:760;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;11,2;Казна
629;П1300000008968;63:09:0205030:761;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;25,6;Казна
630;П1300000009286;63:09:0205030:762;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;24,4;Казна
631;П1300000007281;63:09:0205030:763;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;26,1;Казна
632;П1300000005859;63:09:0205030:769;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;14,5;Казна
633;П1300000009056;63:09:0205030:781;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;25,9;Казна
634;П1300000009054;63:09:0205030:782;Нежилое здание;"Павильон ""Уралочка""";Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;26;Казна
635;П1300000007021;63:09:0205030:784;Нежилое здание;Домик;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92, стр.;13,6;Казна
636;П1300000008392;63:09:0206056:8838;Нежилое здание;Столовая;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 92;308;Казна
637;П1300000008911;63:09:0206057:2426;Нежилое здание;Наземный павильон скважины;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, д. 94, стр.;17,5;Казна
638;П1300000009116;63:09:0206057:2992;Нежилое здание;Здание восстановительного центра;Самарская область, Комсомольский район, г. Тольятти, ул. Бурлацкая, здание 42;167,6;Оперативное управление
639;П1300000008702;63:09:0206058:1959;Нежилое здание;Столовая на 50 посадочных мест;"Самарская область, Комсомольский район, г. Тольятти, северо-восточная часть территории турбазы ""Родничок"" на п/о Копылово";465,4;Казна
640;П1300000013920;63:09:0206060:4059;Нежилое здание;Районная насосная станция (РНС-6);Самарская область, Комсомольский район, г. Тольятти, ул. Никонова, д. 51;1205,7;Казна
641;П1300000009252;63:09:0301083:2328;Нежилое здание;ТП-82 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 60, стр. В;34,3;Казна
642;П1300000008103;63:09:0301083:2331;Нежилое здание;Гараж, сарай;Самарская область, Центральный район, г. Тольятти, ул. Ставропольская, д. 19;69,9;Оперативное управление
643;П1300000009251;63:09:0301083:2332;Нежилое здание;ТП-83 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Ставропольская, д. 27, стр. А;18,9;Казна
644;П1300000007768;63:09:0301083:2334;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Ставропольская, д. 102;2986,1;Оперативное управление
645;П1300000007785;63:09:0301083:2337;Нежилое здание;Школа;Самарская область, Центральный район, г. Тольятти, ул. Ставропольская, д. 19;4130,1;Оперативное управление
646;П1300000007113;63:09:0301083:2359;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 53, стр. А;20,9;Оперативное управление
647;П1300000008353;63:09:0301083:2360;Нежилое здание;Детский сад № 55;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 53, стр. А;1093,9;Оперативное управление
648;П1300000005844;63:09:0301083:2361;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 53, стр. А;103,5;Оперативное управление
649;П1300000006963;63:09:0301100:1313;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 38;1055,5;Оперативное управление
650;П1300000007100;63:09:0301100:1314;Нежилое здание;Склад-овощехранилище;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 38;77,5;Оперативное управление
651;П1300000006687;63:09:0301100:1317;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 54;90,5;Оперативное управление
652;П1300000006391;63:09:0301100:1318;Нежилое здание;ясли-сад;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 54;1053,9;Оперативное управление
653;П1300000007417;63:09:0301100:1329;Нежилое здание;Детская музыкальная школа;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 72;836,4;Оперативное управление
654;П1300000006967;63:09:0301100:1331;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 81;3058,9;Оперативное управление
655;П1300000007116;63:09:0301100:1332;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 81;88,4;Оперативное управление
656;П1300000012972;63:09:0301100:1334;Нежилое здание;Предприятие общественного питания (кафе);Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 25;498,1;Казна
657;П1300000005691;63:09:0301101:2068;Нежилое здание;ТП-86 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 31, стр. Б;34,9;Казна
658;П1300000007771;63:09:0301104:1550;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Белорусская, д. 8;2311,8;Оперативное управление
659;П1300000006749;63:09:0301104:1551;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Белорусская, д. 8;98,4;Оперативное управление
660;П1300000009254;63:09:0301104:1559;Нежилое здание;ТП-3 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Родины, д. 50;23,8;Казна
661;П1300000006837;63:09:0301104:1560;Нежилое здание;"Спорткомплекс ""Старт""";Самарская область, Центральный район, г. Тольятти, ул. Республиканская, д. 1;3501,8;Оперативное управление
662;П1300000014349;63:09:0301105:1006;Нежилое здание;Здание ЗС ГО № 411-63, убежище;Самарская область, Центральный район, г. Тольятти, ул. Белорусская, здание 33Б;268,5;Казна
663;П1300000007305;63:09:0301105:520;Нежилое здание;Тяговая подстанция № 3;Самарская область, Центральный район, г. Тольятти, ул. Родины, д. 52;195;Хозяйственное ведение
664;П1300000007966;63:09:0301105:739;Нежилое здание;ТП-184 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Белорусская, д. 25, стр. А;36;Казна
665;П1300000006962;63:09:0301106:1329;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 37;863,9;Оперативное управление
666;П1300000005850;63:09:0301106:1330;Нежилое здание;Овощехранилище;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 37;109;Оперативное управление
667;П1300000005849;63:09:0301106:1331;Нежилое здание;Прачечная;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 37;71,9;Оперативное управление
668;П1300000007534;63:09:0301106:1335;Нежилое здание;ясли-сад;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 50;1996,9;Оперативное управление
669;П1300000009275;63:09:0301106:1337;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 50;116,7;Оперативное управление
670;П1300000013773;63:09:0301109:1358;Нежилое здание;Нежилое здание - трансформаторная подстанция № 390;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 8Д;62,9;Казна
671;П1300000014620;63:09:0301109:1615;Нежилое здание;Нежилое здание трансформаторной подстанции (ТП);Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 8, стр. Г;45,4;Казна
672;П1300000008101;63:09:0301109:829;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 12;32,3;Оперативное управление
673;П1300000007792;63:09:0301109:833;Нежилое здание;Школа;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 12;5816,2;Оперативное управление
674;П1300000008982;63:09:0301109:834;Нежилое здание;Теплица;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 12;188,9;Оперативное управление
675;П1300000008972;63:09:0301109:836;Нежилое здание;Теплица;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 44;259,1;Оперативное управление
676;П1300000007969;63:09:0301109:839;Нежилое здание;ТП-16 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 8Б;38;Казна
677;П1300000007967;63:09:0301109:840;Нежилое здание;ТП-25 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 8В;53,6;Казна
678;П1300000008647;63:09:0301109:842;Нежилое здание;Школа;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 44;5750,1;Оперативное управление
679;П1300000007963;63:09:0301109:845;Нежилое здание;ТП-15 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 8А;38,4;Казна
680;П1300000007793;63:09:0301109:846;Нежилое здание;Школа;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 4;6173,3;Оперативное управление
681;П1300000006769;63:09:0301109:848;Нежилое здание;Склад, гараж;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 4;66,2;Оперативное управление
682;П1300000006768;63:09:0301109:850;Нежилое здание;Теплица;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 4;84,9;Оперативное управление
683;П1300000006480;63:09:0301109:853;Нежилое здание;Общественный туалет;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 41;28,5;Казна
684;П1300000006526;63:09:0301109:856;Нежилое здание;ТП-95А (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 5, стр. Б;50;Казна
685;П1300000006246;63:09:0301111:3909;Нежилое здание;Нежилое здание;Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 15;3815,1;Казна
686;П1300000008963;63:09:0301111:3913;Нежилое здание;ЦТП-2;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 55, стр. А;104,2;Казна
687;П1300000006291;63:09:0301111:3916;Нежилое здание;Овощехранилище;Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 17;124,4;Оперативное управление
688;П1300000006831;63:09:0301111:3917;Нежилое здание;"Нежилое здание, Здание (Лит. А) - детский сад ""Белоснежка"" №110)";Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 17;3693,2;Оперативное управление
689;П1300000007418;63:09:0301111:3922;Нежилое здание;Здание (лит.А) - музыкальная школа;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 5;933,2;Оперативное управление
690;П1300000006407;63:09:0301111:3924;Нежилое здание; Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 52;1952,2;Оперативное управление
691;П1300000007102;63:09:0301111:3925;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 52;113,7;Оперативное управление
692;П1300000006839;63:09:0301111:3926;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 50;3025,9;Оперативное управление
693;П1300000008966;63:09:0301111:3929;Нежилое здание;ЦТП № 3;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 40, стр. Б;106,6;Казна
694;П1300000007791;63:09:0301111:3931;Нежилое здание;Школа;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 108;5093,6;Оперативное управление
695;П1300000008848;63:09:0301111:3934;Нежилое здание;Сарай;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 108;33,9;Оперативное управление
696;П1300000007962;63:09:0301111:3935;Нежилое здание;Овощехранилище;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 109, стр.;88,7;Оперативное управление
697;П1300000008348;63:09:0301111:3938;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 109;1076,6;Оперативное управление
698;П1300000007505;63:09:0301111:4141;Нежилое здание;ясли-сад;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 48;3035,7;Оперативное управление
699;П1300000005851;63:09:0301111:4142;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 48;90,1;Оперативное управление
700;П1300000008947;63:09:0301114:518;Нежилое здание;ТП-224 (трансформаторная подстанция);Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 19, стр. Б;42,6;Казна
701;П1300000008652;63:09:0301115:3924;Нежилое здание;Гимназия № 9;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 22;6421,8;Оперативное управление
702;П1300000005884;63:09:0301115:3927;Нежилое здание;Крытый каток с искусственным льдом;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 9;5867,9;Оперативное управление
